year,cohort,school_rep_code,school_rep_name,region,estb,school_division,enrolled_students,enrolled_dropouts,enrolled_dropout_rate,freshman_students,freshman_dropouts,freshman_dropout_rate,campus_count,grad_program_count,has_alimi,updated_at
2019,junior-college,0000362,전북과학대학교,전북,사립,전문대학,1789,115,6.4,0,0,,1,0,Y,2026-08-15T04:17:46.259Z
2019,junior-college,0000274,전주기전대학,전북,사립,전문대학,2090,226,10.8,0,0,,1,0,Y,2026-08-15T04:17:46.259Z
2019,junior-college,0000361,전주비전대학교,전북,사립,전문대학,5359,354,6.6,0,0,,1,0,Y,2026-08-15T04:17:46.259Z
2019,junior-college,0000363,제주관광대학교,제주,사립,전문대학,3197,339,10.6,0,0,,1,0,Y,2026-08-15T04:17:46.259Z
2019,junior-college,0000382,제주한라대학교,제주,사립,전문대학,9943,804,8.1,0,0,,1,0,Y,2026-08-15T04:17:46.259Z
2019,junior-college,0000373,백석문화대학교,충남,사립,전문대학,8116,756,9.3,0,0,,1,0,Y,2026-08-15T04:17:46.259Z
2019,junior-college,0000335,신성대학교,충남,사립,전문대학,5799,425,7.3,0,0,,1,0,Y,2026-08-15T04:17:46.259Z
2019,junior-college,0000291,아주자동차대학,충남,사립,전문대학,2506,125,5,0,0,,1,0,Y,2026-08-15T04:17:46.259Z
2019,junior-college,0000529,연암대학교,충남,사립,전문대학,1516,97,6.4,0,0,,1,0,Y,2026-08-15T04:17:46.259Z
2019,junior-college,0000386,혜전대학교,충남,사립,전문대학,3909,281,7.2,0,0,,1,0,Y,2026-08-15T04:17:46.259Z
2019,junior-college,0000271,강동대학교,충북,사립,전문대학,5587,564,10.1,0,0,,1,0,Y,2026-08-15T04:17:46.259Z
2019,junior-college,0000286,대원대학교,충북,사립,전문대학,3264,239,7.3,0,0,,1,0,Y,2026-08-15T04:17:46.259Z
2019,junior-college,0000367,충북보건과학대학교,충북,사립,전문대학,3986,301,7.6,0,0,,1,0,Y,2026-08-15T04:17:46.259Z
2019,junior-college,0000377,충청대학교,충북,사립,전문대학,6175,583,9.4,0,0,,1,0,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000513,가톨릭관동대학교,강원,사립,대학원,370,41,11.1,,,,4,5,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000086,상지대학교,강원,사립,대학원,325,33,10.2,,,,5,6,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000147,한라대학교,강원,사립,대학원,45,3,6.7,,,,1,1,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000148,한림대학교,강원,사립,대학원,722,43,6,,,,7,9,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000044,가천대학교,경기,사립,대학원,2441,118,4.8,,,,9,11,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000034,가톨릭대학교,경기,사립,대학원,2646,96,3.6,,,,16,21,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000036,강남대학교,경기,사립,대학원,390,26,6.7,,,,4,5,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000039,경기대학교,경기,사립,대학원,2223,128,5.8,,,,10,13,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000060,단국대학교,경기,사립,대학원,4109,209,5.1,,,,13,16,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000068,대진대학교,경기,사립,대학원,426,16,3.8,,,,4,5,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000078,루터대학교,경기,사립,대학원,44,5,11.4,,,,1,1,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000079,명지대학교,경기,사립,대학원,2197,121,5.5,,,,9,11,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000090,서울신학대학교,경기,사립,대학원,1062,64,6,,,,7,8,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000092,서울장신대학교,경기,사립,대학원,415,18,4.3,,,,7,9,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000095,성결대학교,경기,사립,대학원,460,36,7.8,,,,5,6,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000101,수원가톨릭대학교,경기,사립,대학원,47,2,4.3,,,,1,1,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000102,수원대학교,경기,사립,대학원,980,84,8.6,,,,14,14,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000509,신한대학교,경기,사립,대학원,258,14,5.4,,,,2,3,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000558,아신대학교,경기,사립,대학원,831,85,10.2,,,,6,8,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000108,아주대학교,경기,사립,대학원,4667,233,5,,,,14,16,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000109,안양대학교,경기,사립,대학원,691,99,14.3,,,,6,8,Y,2026-08-15T04:17:46.259Z
