year,half,school_kind,estb,school_division,region,status,school_rep_code,school_rep_name,campus_count,student_quota,recruitment_suspension,enrolled_total,enrolled_within,enrolled_outside,fill_rate,fill_rate_within,consolidated_at
2020,상반기,전문대학,사립,전문대학,경기,기존,0000302,동원대학교,1,3356,0,3514,3046,468,104.71,90.76,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000305,두원공과대학교,1,4813,0,4222,3885,337,87.72,80.72,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000078,루터대학교,1,355,0,369,361,8,103.94,101.69,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000079,명지대학교,2,10734,0,13306,10831,2475,123.96,100.9,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000316,부천대학교,1,5319,0,7705,5233,2472,144.86,98.38,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000090,서울신학대학교,1,2046,0,2218,2066,152,108.41,100.98,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000323,서울예술대학교,1,1890,0,3101,1870,1231,164.07,98.94,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000092,서울장신대학교,1,461,0,476,451,25,103.25,97.83,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000392,서정대학교,1,3208,0,5412,3051,2361,168.7,95.11,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000095,성결대학교,1,4912,0,5418,5019,399,110.3,102.18,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000101,수원가톨릭대학교,1,360,0,121,118,3,33.61,32.78,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000330,수원과학대학교,1,5667,0,5981,5450,531,105.54,96.17,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000102,수원대학교,1,8784,0,9033,8283,750,102.83,94.3,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000329,수원여자대학교,1,4210,0,4367,3991,376,103.73,94.8,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,000567,신경대학교,1,1016,13,569,544,25,56.73,54.24,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000334,신구대학교,1,6155,0,6749,5867,882,109.65,95.32,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000339,신안산대학교,1,3885,0,4071,3645,426,104.79,93.82,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,000509,신한대학교,2,5812,0,6338,5432,906,109.05,93.46,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,폐교,0000336,신흥대학교,1,0,0,0,0,0,0,0,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000558,아신대학교,1,744,0,617,601,16,82.93,80.78,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000108,아주대학교,1,7674,0,9547,8115,1432,124.41,105.75,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000340,안산대학교,1,4072,0,4550,3921,629,111.74,96.29,2026-08-07T09:07:29.731Z
