year,region_code,region,region_full,sido,geo_level,women_20_39,senior_65_plus,extinction_index,extinction_grade,uploaded_at
2022,4211000000,춘천시,강원도 춘천시,강원,sigungu,34025,55802,60.97,1,2026-08-13T23:12:29.517Z
2022,4213000000,원주시,강원도 원주시,강원,sigungu,42819,60755,70.48,1,2026-08-13T23:12:29.517Z
2022,4215000000,강릉시,강원도 강릉시,강원,sigungu,20346,49575,41.04,2,2026-08-13T23:12:29.517Z
2022,4217000000,동해시,강원도 동해시,강원,sigungu,7542,19983,37.74,3,2026-08-13T23:12:29.517Z
2022,4219000000,태백시,강원도 태백시,강원,sigungu,2740,10964,24.99,3,2026-08-13T23:12:29.517Z
2022,4221000000,속초시,강원도 속초시,강원,sigungu,7898,17551,45,2,2026-08-13T23:12:29.517Z
2022,4223000000,삼척시,강원도 삼척시,강원,sigungu,5286,17460,30.27,3,2026-08-13T23:12:29.517Z
2022,4272000000,홍천군,강원도 홍천군,강원,sigungu,4984,20163,24.72,3,2026-08-13T23:12:29.517Z
2022,4273000000,횡성군,강원도 횡성군,강원,sigungu,2895,15222,19.02,4,2026-08-13T23:12:29.517Z
2022,4275000000,영월군,강원도 영월군,강원,sigungu,2399,12211,19.65,4,2026-08-13T23:12:29.517Z
2022,4276000000,평창군,강원도 평창군,강원,sigungu,2486,12896,19.28,4,2026-08-13T23:12:29.517Z
2022,4277000000,정선군,강원도 정선군,강원,sigungu,2101,10846,19.37,4,2026-08-13T23:12:29.517Z
2022,4278000000,철원군,강원도 철원군,강원,sigungu,3684,10657,34.57,3,2026-08-13T23:12:29.517Z
2022,4279000000,화천군,강원도 화천군,강원,sigungu,2114,5909,35.78,3,2026-08-13T23:12:29.517Z
2022,4280000000,양구군,강원도 양구군,강원,sigungu,1956,5072,38.56,3,2026-08-13T23:12:29.517Z
2022,4281000000,인제군,강원도 인제군,강원,sigungu,2908,7269,40.01,2,2026-08-13T23:12:29.517Z
2022,4282000000,고성군,강원도 고성군,강원,sigungu,1950,8517,22.9,3,2026-08-13T23:12:29.517Z
2022,4283000000,양양군,강원도 양양군,강원,sigungu,1852,9022,20.53,3,2026-08-13T23:12:29.517Z
2022,4300000000,충북,충청북도,충북,sido,169357,316939,53.44,2,2026-08-13T23:12:29.517Z
2022,4311000000,청주시,충청북도 청주시,충북,sigungu,106612,127054,83.91,1,2026-08-13T23:12:29.517Z
2022,4311100000,청주시 상당구,충청북도 청주시 상당구,충북,sigungu,22627,33193,68.17,1,2026-08-13T23:12:29.517Z
2022,4311200000,청주시 서원구,충청북도 청주시 서원구,충북,sigungu,22842,32645,69.97,1,2026-08-13T23:12:29.517Z
2022,4311300000,청주시 흥덕구,충청북도 청주시 흥덕구,충북,sigungu,36873,33521,110,0,2026-08-13T23:12:29.517Z
2022,4311400000,청주시 청원구,충청북도 청주시 청원구,충북,sigungu,24270,27695,87.63,1,2026-08-13T23:12:29.517Z
2022,4313000000,충주시,충청북도 충주시,충북,sigungu,19640,45952,42.74,2,2026-08-13T23:12:29.517Z
2022,4315000000,제천시,충청북도 제천시,충북,sigungu,11779,32145,36.64,3,2026-08-13T23:12:29.517Z
2022,4372000000,보은군,충청북도 보은군,충북,sigungu,1702,11795,14.43,4,2026-08-13T23:12:29.517Z
2022,4373000000,옥천군,충청북도 옥천군,충북,sigungu,3295,16265,20.26,3,2026-08-13T23:12:29.517Z
2022,4374000000,영동군,충청북도 영동군,충북,sigungu,2793,15767,17.71,4,2026-08-13T23:12:29.517Z
2022,4374500000,증평군,충청북도 증평군,충북,sigungu,3808,7264,52.42,2,2026-08-13T23:12:29.517Z
2022,4375000000,진천군,충청북도 진천군,충북,sigungu,8707,15286,56.96,2,2026-08-13T23:12:29.517Z
2022,4376000000,괴산군,충청북도 괴산군,충북,sigungu,1906,13947,13.67,4,2026-08-13T23:12:29.517Z
2022,4377000000,음성군,충청북도 음성군,충북,sigungu,7544,21808,34.59,3,2026-08-13T23:12:29.517Z
2022,4380000000,단양군,충청북도 단양군,충북,sigungu,1571,9656,16.27,4,2026-08-13T23:12:29.517Z
2022,4400000000,충남,충청남도,충남,sido,219060,436895,50.14,2,2026-08-13T23:12:29.517Z
2022,4413000000,천안시,충청남도 천안시,충남,sigungu,89438,80766,110.74,0,2026-08-13T23:12:29.517Z
2022,4413100000,천안시 동남구,충청남도 천안시 동남구,충남,sigungu,30303,41199,73.55,1,2026-08-13T23:12:29.517Z
2022,4413300000,천안시 서북구,충청남도 천안시 서북구,충남,sigungu,59135,39567,149.46,0,2026-08-13T23:12:29.517Z
2022,4415000000,공주시,충청남도 공주시,충남,sigungu,8935,29452,30.34,3,2026-08-13T23:12:29.517Z
2022,4418000000,보령시,충청남도 보령시,충남,sigungu,7428,27741,26.78,3,2026-08-13T23:12:29.517Z
2022,4420000000,아산시,충청남도 아산시,충남,sigungu,39212,47012,83.41,1,2026-08-13T23:12:29.517Z
2022,4421000000,서산시,충청남도 서산시,충남,sigungu,16404,35323,46.44,2,2026-08-13T23:12:29.517Z
2022,4423000000,논산시,충청남도 논산시,충남,sigungu,9060,32616,27.78,3,2026-08-13T23:12:29.517Z
2022,4425000000,계룡시,충청남도 계룡시,충남,sigungu,4443,5974,74.37,1,2026-08-13T23:12:29.517Z
2022,4427000000,당진시,충청남도 당진시,충남,sigungu,15207,33915,44.84,2,2026-08-13T23:12:29.517Z
2022,4471000000,금산군,충청남도 금산군,충남,sigungu,2967,17077,17.37,4,2026-08-13T23:12:29.517Z
2022,4476000000,부여군,충청남도 부여군,충남,sigungu,3747,23657,15.84,4,2026-08-13T23:12:29.517Z
2022,4477000000,서천군,충청남도 서천군,충남,sigungu,2766,19592,14.12,4,2026-08-13T23:12:29.517Z
2022,4479000000,청양군,충청남도 청양군,충남,sigungu,1843,11506,16.02,4,2026-08-13T23:12:29.517Z
