school_code_std,road_address,lot_address,lng,lat,sido,sigungu,geocoded_at
0000040,"서울특별시 동대문구 서울시립대로 163 (전농동, 서울시립대학교)",서울특별시 동대문구 전농동 694,127.05921030945518,37.58252264016921,서울특별시,동대문구,2026-08-01T20:12:16.527Z
0000046,"경기도 부천시 원미구 지봉로 43 (역곡동, 가톨릭대학교성심교정)",경기도 부천시 원미구 소사동 산 3-1,126.79856721418524,37.48748504209048,경기도,부천시,2026-08-01T20:12:16.527Z
0000048,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",서울특별시 서초구 반포동 산 38-2,127.00608551590216,37.4998583152411,서울특별시,서초구,2026-08-01T20:12:16.527Z
0000049,"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정)",서울특별시 종로구 혜화동 산 1-2,127.00589277952778,37.585798328955846,서울특별시,종로구,2026-08-01T20:12:16.527Z
0000050,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학)",서울특별시 서대문구 냉천동 31,126.9618929433262,37.5679165895965,서울특별시,서대문구,2026-08-01T20:12:16.527Z
0000051,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교)",경기도 용인시 기흥구 구갈동 111,127.13339446482709,37.27679172121225,경기도,용인시,2026-08-01T20:12:16.527Z
0000052,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",서울특별시 광진구 화양동 393-1,127.07818913116384,37.54341661956013,서울특별시,광진구,2026-08-01T20:12:16.527Z
0000053,"충청북도 충주시 충원대로 268 (단월동, 건국대학교 글로컬캠퍼스)",충청북도 충주시 단월동 322,127.90453775393146,36.948901439541075,충청북도,충주시,2026-08-01T20:12:16.527Z
0000054,"충청남도 논산시 대학로 121 (내동, 건양대학교)",충청남도 논산시 은진면 와야리 121,127.11170457580386,36.18203860610181,충청남도,논산시,2026-08-01T20:12:16.527Z
0000055,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원)",대전광역시 서구 관저동 1643,127.34264048665737,36.30682222962901,대전광역시,서구,2026-08-01T20:12:16.527Z
0000056,"경기도 수원시 영통구 광교산로 154-42 (이의동, 경기대학교)",경기도 수원시 영통구 이의동 산 96-2,127.03997808029791,37.301200022515744,경기도,수원시,2026-08-01T20:12:16.527Z
0000058,"서울특별시 서대문구 경기대로9길 24 (충정로2가, 경기대학교)",서울특별시 서대문구 충정로2가 68-9,126.96224300874167,37.56475126178347,서울특별시,서대문구,2026-08-01T20:12:16.527Z
0000059,"경상남도 창원시 마산합포구 경남대학로 7 (월영동, 경남대학교)",경상남도 창원시 마산합포구 월영동 355-1,128.552188863967,35.18372782506245,경상남도,창원시,2026-08-01T20:12:16.527Z
0000060,강원특별자치도 고성군 토성면 봉포4길 46,강원특별자치도 고성군 토성면 봉포리 306-4,128.55767454111754,38.25075465567367,강원특별자치도,고성군,2026-08-01T20:12:16.527Z
0000061,경상북도 경산시 한의대로 1(유곡동),경상북도 경산시 유곡동 290-1,128.77688515835078,35.79600422377702,경상북도,경산시,2026-08-01T20:12:16.527Z
0000062,"부산광역시 남구 수영로 309 (대연동, 경성대학교)",부산광역시 남구 대연동 314-81,129.10010314519482,35.13848771570923,부산광역시,남구,2026-08-01T20:12:16.527Z
0000063,"경기도 성남시 수정구 성남대로 1342 (복정동, 가천대학교)",경기도 성남시 수정구 복정동 620-4,127.13096879205496,37.45056060624532,경기도,성남시,2026-08-01T20:12:16.527Z
0000064,"경상북도 경산시 하양읍 가마실길 50 (부호리, 경일대학교)",경상북도 경산시 하양읍 부호리 33,128.80027066048885,35.91008796879037,경상북도,경산시,2026-08-01T20:12:16.527Z
0000065,"경상북도 경주시 태종로 188 (효현동, 경주대학교)",경상북도 경주시 효현동 670,129.16181988484274,35.83161118336814,경상북도,경주시,2026-08-01T20:12:16.527Z
0000066,"서울특별시 동대문구 경희대로 26 (회기동, 경희대학교)",서울특별시 동대문구 회기동 1-5,127.05146101237986,37.594408964481374,서울특별시,동대문구,2026-08-01T20:12:16.527Z
0000068,"대구광역시 달서구 달구벌대로 1095 (신당동, 계명대학교성서캠퍼스)",대구광역시 달서구 호산동 산 1,128.47941593120652,35.85545201487874,대구광역시,달서구,2026-08-01T20:12:16.527Z
0000069,"서울특별시 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스(인문사회계))",서울특별시 성북구 안암동5가 163-10,127.02887472010458,37.591427483696506,서울특별시,성북구,2026-08-01T20:12:16.527Z
0000070,"세종특별자치시 조치원읍 세종로 2511 (서창리, 고려대학교세종캠퍼스)",세종특별자치시  조치원읍 서창리 208,127.28458700897875,36.61066802092938,,,2026-08-01T20:12:16.527Z
0000071,"부산광역시 영도구 와치로 194 (동삼동, 고신대학교)",부산광역시 영도구 동삼동 516-43,129.0638557694357,35.078481607406914,부산광역시,영도구,2026-08-01T20:12:16.527Z
0000072,강원특별자치도 강릉시 범일로579번길 24 (내곡동),강원특별자치도 강릉시 내곡동 522,128.87653697733083,37.736598653139986,강원특별자치도,강릉시,2026-08-01T20:12:16.527Z
0000073,"전남광주통합특별시 북구 양산택지소로 36 (본촌동, 광신대학교)",전남광주통합특별시 북구 본촌동 132-1,126.88465661612517,35.215725404126204,전남광주통합특별시,북구,2026-08-01T20:12:16.527Z
