year,cohort,school_rep_code,school_rep_name,region,estb,school_division,edu_carryover,edu_endowment,industry_carryover,industry_endowment,total_funds,tuition_revenue,fund_secure_rate,campus_count,has_alimi,updated_at
2020,university,0000181,영산대학교,경남,사립,대학,0,0,0,0,0,0,,2,N,2026-08-15T06:00:43.635Z
2020,university,0000122,인제대학교,경남,사립,대학,5204581.6499999985,25732144.34,13820636.01,0,44757362,75343396.8,59.4,2,Y,2026-08-15T06:00:43.635Z
2020,university,0000193,창신대학교,경남,사립,대학,1142386.2889999994,15750530.85,41396.50200000004,0,16934313.641,13467324.47,125.7,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000174,한국국제대학교,경남,사립,대학,0,0,0,0,0,0,,1,N,2026-08-15T06:00:43.635Z
2020,university,0000188,경운대학교,경북,사립,대학,864896.8600000013,399989.017,1813804.6830000002,0,3078690.5600000015,33217838.17,9.3,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000045,경일대학교,경북,사립,대학,3826516.2600000016,8306781.935,5910214.416999999,0,18043512.612,46013829.44,39.2,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000046,경주대학교,경북,사립,대학,-5290233.615,0,211223.03099999996,0,-5079010.584000001,6976203.03,-72.8,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000185,김천대학교,경북,사립,대학,-965568.5429999996,0,63983.46200000006,0,-901585.0809999995,20362791.77,-4.4,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000063,대구가톨릭대학교,경북,사립,대학,6738826.790000007,73489693.52,3697631.607,0,83926151.917,92699560.34,90.5,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000061,대구대학교,경북,사립,대학,14701739.489999995,109257450.7,2430286.0890000006,4500,126393976.279,124908128.4,101.2,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000062,대구예술대학교,경북,사립,대학,4732098.963,4463099.902,119792.87800000001,0,9314991.743,7638563.21,121.9,1,Y,2026-08-15T06:00:43.635Z
