year,school_code_std,school_name,school_division,school_kind,region,estb,ordinary_expense_transfer,legal_obligation_transfer,asset_transfer,total_transfer,tuition_revenue,transfer_ratio,uploaded_at
2020,0000107,동의대학교,대학,대학교,부산,사립,,1370000,,1370000,101102346,1.4,2026-08-01T05:16:30.222Z
2020,0000108,루터대학교,대학,대학교,경기,사립,743600,190000,,933600,2500677,37.3,2026-08-01T05:16:30.222Z
2020,0000109,명지대학교,대학,대학교,경기,사립,8300,432464,,440764,130128966,0.3,2026-08-01T05:16:30.222Z
2020,0000112,목원대학교,대학,대학교,대전,사립,,740000,,740000,56116573,1.3,2026-08-01T05:16:30.222Z
2020,0000221,목포가톨릭대학교,대학,대학교,전남,사립,8000,227992,,235992,3258564,7.2,2026-08-01T05:16:30.222Z
2020,0000113,배재대학교,대학,대학교,대전,사립,280000,2170000,,2450000,57936665,4.2,2026-08-01T05:16:30.222Z
2020,0000178,백석대학교,대학,대학교,충남,사립,,510000,,510000,107357957,0.5,2026-08-01T05:16:30.222Z
2020,0000114,부산가톨릭대학교,대학,대학교,부산,사립,,1400000,,1400000,26170762,5.3,2026-08-01T05:16:30.222Z
2020,0000115,부산외국어대학교,대학,대학교,부산,사립,,230000,,230000,49311188,0.5,2026-08-01T05:16:30.222Z
2020,0000222,부산장신대학교,대학,대학교,경남,사립,691,167309,,168000,2415840,7,2026-08-01T05:16:30.222Z
2020,0000116,삼육대학교,대학,대학교,서울,사립,,1713629,,1713629,46201973,3.7,2026-08-01T05:16:30.222Z
2020,0000117,상명대학교,대학,대학교,서울,사립,,245000,,245000,107670379,0.2,2026-08-01T05:16:30.222Z
2020,0000119,상지대학교,대학,대학교,강원,사립,,239458,,239458,55415340,0.4,2026-08-01T05:16:30.222Z
2020,0000120,서강대학교,대학,대학교,서울,사립,277188,1120000,,1397188,102451524,1.4,2026-08-01T05:16:30.222Z
2020,0000121,서경대학교,대학,대학교,서울,사립,,797747,,797747,49019921,1.6,2026-08-01T05:16:30.222Z
2020,0000125,서울신학대학교,대학,대학교,경기,사립,81000,1257111,,1338111,19630027,6.8,2026-08-01T05:16:30.222Z
2020,0000126,서울여자대학교,대학,대학교,서울,사립,375833,100000,183610,659443,53089895,1.2,2026-08-01T05:16:30.222Z
2020,0000127,서울장신대학교,대학,대학교,경기,사립,,50000,,50000,5897008,0.8,2026-08-01T05:16:30.222Z
2020,0000205,서울한영대학교,대학,대학교,서울,사립,438426,377620,,816046,6045081,13.5,2026-08-01T05:16:30.222Z
2020,0000128,서원대학교,대학,대학교,충북,사립,110000,100000,,210000,44583303,0.5,2026-08-01T05:16:30.222Z
2020,0000129,선문대학교,대학,대학교,충남,사립,3000,4000000,,4003000,68914909,5.8,2026-08-01T05:16:30.222Z
2020,0000131,성결대학교,대학,대학교,경기,사립,224100,162986,,387086,38666495,1,2026-08-01T05:16:30.222Z
2020,0000132,성공회대학교,대학,대학교,서울,사립,,20000,,20000,17041987,0.1,2026-08-01T05:16:30.222Z
2020,0000133,성균관대학교,대학,대학교,서울,사립,9143000,19709000,,28852000,271257112,10.6,2026-08-01T05:16:30.222Z
2020,0000136,성신여자대학교,대학,대학교,서울,사립,,430000,,430000,75745580,0.6,2026-08-01T05:16:30.222Z
2020,0000137,세명대학교,대학,대학교,충북,사립,,1300000,,1300000,52045574,2.5,2026-08-01T05:16:30.222Z
2020,0000138,세종대학교,대학,대학교,서울,사립,,980000,,980000,120201796,0.8,2026-08-01T05:16:30.222Z
2020,0000092,세한대학교,대학,대학교,전남,사립,,170000,,170000,21975288,0.8,2026-08-01T05:16:30.222Z
2020,0000243,송원대학교,대학,대학교,광주,사립,3000000,1000000,,4000000,18651519,21.4,2026-08-01T05:16:30.222Z
2020,0000139,수원가톨릭대학교,대학,대학교,경기,사립,4254066,340085,,4594151,982571,467.6,2026-08-01T05:16:30.222Z
2020,0000140,수원대학교,대학,대학교,경기,사립,5000,30000,,35000,72285549,0,2026-08-01T05:16:30.222Z
2020,0000141,숙명여자대학교,대학,대학교,서울,사립,,373000,,373000,103145048,0.4,2026-08-01T05:16:30.222Z
2020,0000142,순천향대학교,대학,대학교,충남,사립,3300000,11657975,,14957975,92226560,16.2,2026-08-01T05:16:30.222Z
2020,0000143,숭실대학교,대학,대학교,서울,사립,56100,929691,29,985820,135433854,0.7,2026-08-01T05:16:30.222Z
2020,0000233,화성의과학대학교,대학,대학교,경기,사립,,,,,3869698,0,2026-08-01T05:16:30.222Z
2020,0000144,신라대학교,대학,대학교,부산,사립,,306009,,306009,56650737,0.5,2026-08-01T05:16:30.222Z
2020,0002712,신한대학교,대학,대학교,경기,사립,1508000,,,1508000,57791758,2.6,2026-08-01T05:16:30.222Z
2020,0000145,아신대학교,대학,대학교,경기,사립,4195,123158,,127353,7304141,1.7,2026-08-01T05:16:30.222Z
2020,0000146,아주대학교,대학,대학교,경기,사립,2546337,8929113,,11475450,121505890,9.4,2026-08-01T05:16:30.222Z
2020,0000147,안양대학교,대학,대학교,경기,사립,550000,1470000,,2020000,38285129,5.3,2026-08-01T05:16:30.222Z
2020,0000149,연세대학교,대학,대학교,서울,사립,29842546,42645414,,72487960,391949729,18.5,2026-08-01T05:16:30.222Z
2020,0000151,영남대학교,대학,대학교,경북,사립,,7500000,,7500000,170120987,4.4,2026-08-01T05:16:30.222Z
2020,0000153,영남신학대학교,대학,대학교,경북,사립,29415,233848,,263263,4314827,6.1,2026-08-01T05:16:30.222Z
2020,0003193,영산대학교(해운대),대학,대학교,부산,사립,,1650000,,1650000,37419225,4.4,2026-08-01T05:16:30.222Z
2020,0000155,영산선학대학교,대학,대학교,전남,사립,580000,38427,,618427,59000,1048.2,2026-08-01T05:16:30.222Z
2020,0000228,예수대학교,대학,대학교,전북,사립,,273800,,273800,3693796,7.4,2026-08-01T05:16:30.222Z
2020,0000218,예원예술대학교,대학,대학교,전북,사립,,483500,,483500,16191203,3,2026-08-01T05:16:30.222Z
2020,0000156,용인대학교,대학,대학교,경기,사립,,515000,,515000,51595853,1,2026-08-01T05:16:30.222Z
2020,0000157,우석대학교,대학,대학교,전북,사립,95100,332871,,427971,53833025,0.8,2026-08-01T05:16:30.222Z
2020,0000240,우송대학교,대학,대학교,대전,사립,,1830000,,1830000,72726546,2.5,2026-08-01T05:16:30.222Z
2020,0000158,울산대학교,대학,대학교,울산,사립,9917062,10370044,,20287106,102326755,19.8,2026-08-01T05:16:30.222Z
2020,0000159,원광대학교,대학,대학교,전북,사립,83200,1730000,,1813200,119006586,1.5,2026-08-01T05:16:30.222Z
2020,0000160,위덕대학교,대학,대학교,경북,사립,,480000,,480000,20582160,2.3,2026-08-01T05:16:30.222Z
2020,0000154,유원대학교,대학,대학교,충북,사립,,220500,,220500,25047225,0.9,2026-08-01T05:16:30.222Z
2020,0000161,을지대학교,대학,대학교,대전,사립,5094000,3531000,,8625000,42352121,20.4,2026-08-01T05:16:30.222Z
2020,0000163,이화여자대학교,대학,대학교,서울,사립,57877,8167000,,8224877,201722872,4.1,2026-08-01T05:16:30.222Z
2020,0000164,인제대학교,대학,대학교,경남,사립,5891537,11687504,,17579041,75343397,23.3,2026-08-01T05:16:30.222Z
2020,0000168,인천가톨릭대학교,대학,대학교,인천,사립,3398084,506557,,3904641,6549511,59.6,2026-08-01T05:16:30.222Z
2020,0000169,인하대학교,대학,대학교,인천,사립,,7797558,,7797558,163868470,4.8,2026-08-01T05:16:30.222Z
2020,0000170,장로회신학대학교,대학,대학교,서울,사립,146218,844000,,990218,16144373,6.1,2026-08-01T05:16:30.222Z
2020,0000171,전주대학교,대학,대학교,전북,사립,70000,780000,,850000,80657543,1.1,2026-08-01T05:16:30.222Z
2020,0000172,조선대학교,대학,대학교,광주,사립,,950000,,950000,145566170,0.7,2026-08-01T05:16:30.222Z
2020,0000173,중부대학교,대학,대학교,충남,사립,4007,240000,,244007,62417532,0.4,2026-08-01T05:16:30.222Z
2020,0000175,중앙대학교,대학,대학교,서울,사립,,9462632,,9462632,261283132,3.6,2026-08-01T05:16:30.222Z
2020,0000177,중앙승가대학교,대학,대학교,경기,사립,1518539,255461,,1774000,729658,243.1,2026-08-01T05:16:30.222Z
2020,0000239,중원대학교,대학,대학교,충북,사립,1585282,1541086,,3126369,28085992,11.1,2026-08-01T05:16:30.222Z
2020,0000187,차의과학대학교,대학,대학교,경기,사립,555321,4692073,,5247394,28583866,18.4,2026-08-01T05:16:30.222Z
2020,0000249,창신대학교,대학,대학교,경남,사립,251000,749000,,1000000,13467324,7.4,2026-08-01T05:16:30.222Z
2020,0000179,청주대학교,대학,대학교,충북,사립,358000,130000,,488000,88077277,0.6,2026-08-01T05:16:30.222Z
2020,0000246,초당대학교,대학,대학교,전남,사립,,800000,,800000,19701845,4.1,2026-08-01T05:16:30.222Z
2020,0000180,총신대학교,대학,대학교,서울,사립,,,,,25697682,0,2026-08-01T05:16:30.222Z
2020,0000181,추계예술대학교,대학,대학교,서울,사립,,100000,,100000,10830626,0.9,2026-08-01T05:16:30.222Z
2020,0000184,칼빈대학교,대학,대학교,경기,사립,,40000,,40000,7057672,0.6,2026-08-01T05:16:30.222Z
2020,0000079,강서대학교,대학,대학교,서울,사립,,130000,,130000,9976511,1.3,2026-08-01T05:16:30.222Z
2020,0000186,평택대학교,대학,대학교,경기,사립,117000,490000,,607000,30298819,2,2026-08-01T05:16:30.222Z
2020,0000188,포항공과대학교,대학,대학교,경북,사립,53077490,4718122,1417247,59212859,23776147,249,2026-08-01T05:16:30.222Z
2020,0000189,한국기술교육대학교,대학,대학교,충남,사립,73240707,4835144,28049532,106125383,19984540,531,2026-08-01T05:16:30.222Z
2020,0000247,한국공학대학교,대학,대학교,경기,사립,,2001600,,2001600,59815790,3.3,2026-08-01T05:16:30.222Z
2020,0000191,한국성서대학교,대학,대학교,서울,사립,30000,539782,,569782,8167635,7,2026-08-01T05:16:30.222Z
2020,0000192,한국외국어대학교,대학,대학교,서울,사립,,4941000,,4941000,147333499,3.4,2026-08-01T05:16:30.222Z
2020,0000182,한국침례신학대학교,대학,대학교,대전,사립,11100,125000,,136100,11679118,1.2,2026-08-01T05:16:30.222Z
2020,0000194,한국항공대학교,대학,대학교,경기,사립,102000,1884867,,1986867,37955420,5.2,2026-08-01T05:16:30.222Z
2020,0000195,한남대학교,대학,대학교,대전,사립,185000,350000,,535000,84485082,0.6,2026-08-01T05:16:30.222Z
2020,0000196,한동대학교,대학,대학교,경북,사립,1731695,2181805,,3913500,31647906,12.4,2026-08-01T05:16:30.222Z
2020,0000197,한라대학교,대학,대학교,강원,사립,1216300,1298038,,2514338,22979958,10.9,2026-08-01T05:16:30.222Z
2020,0000242,한려대학교,대학,대학교,전남,사립,,6000,,6000,2734816,0.2,2026-08-01T05:16:30.222Z
2020,0000198,한림대학교,대학,대학교,강원,사립,33792146,7671046,513571,41976763,62686742,67,2026-08-01T05:16:30.222Z
2020,0000199,한서대학교,대학,대학교,충남,사립,6000,175000,,181000,55835506,0.3,2026-08-01T05:16:30.222Z
2020,0000200,한성대학교,대학,대학교,서울,사립,,490000,,490000,55508500,0.9,2026-08-01T05:16:30.222Z
2020,0000201,한세대학교,대학,대학교,경기,사립,1014326,1294241,,2308567,24857872,9.3,2026-08-01T05:16:30.222Z
2020,0000202,한신대학교,대학,대학교,경기,사립,265180,664726,,929906,37527805,2.5,2026-08-01T05:16:30.222Z
2020,0000203,한양대학교,대학,대학교,서울,사립,1242462,9870006,,11112468,327516821,3.4,2026-08-01T05:16:30.222Z
2020,0000206,한일장신대학교,대학,대학교,전북,사립,14404,553132,,567536,7525306,7.5,2026-08-01T05:16:30.222Z
2020,0000207,협성대학교,대학,대학교,경기,사립,,50000,,50000,31335490,0.2,2026-08-01T05:16:30.222Z
2020,0000208,호남대학교,대학,대학교,광주,사립,26500,482000,,508500,48697699,1,2026-08-01T05:16:30.222Z
2020,0000209,호남신학대학교,대학,대학교,광주,사립,150000,300246,,450246,5426029,8.3,2026-08-01T05:16:30.222Z
2020,0000211,호서대학교,대학,대학교,충남,사립,,517000,,517000,105798481,0.5,2026-08-01T05:16:30.222Z
2020,0000212,홍익대학교,대학,대학교,서울,사립,,80000,,80000,195991497,0,2026-08-01T05:16:30.222Z
2020,0000284,청운대학교,대학,산업대학,충남,사립,8000,81100,,89100,43683333,0.2,2026-08-01T05:16:30.222Z
2020,0000282,호원대학교,대학,산업대학,전북,사립,,737660,,737660,35400654,2.1,2026-08-01T05:16:30.222Z
2020,0000663,개신대학원대학교,대학원대학,전문대학원,서울,사립,10694,59307,,70000,653083,10.7,2026-08-01T05:16:30.222Z
2020,0000643,건신대학원대학교,대학원대학,전문대학원,대전,사립,,49000,,49000,1053978,4.6,2026-08-01T05:16:30.222Z
2020,0000668,경안대학원대학교,대학원대학,전문대학원,경북,사립,3750,20360,,24110,256300,9.4,2026-08-01T05:16:30.222Z
2020,0002643,계약신학대학원대학교,대학원대학,전문대학원,경기,사립,3483,36517,,40000,173260,23.1,2026-08-01T05:16:30.222Z
2020,0002857,구세군사관대학원대학교,대학원대학,특수대학원,경기,사립,561364,40636,2860,604860,172800,350,2026-08-01T05:16:30.222Z
2020,0000657,국제뇌교육종합대학원대학교,대학원대학,전문대학원,충남,사립,,20000,,20000,2220705,0.9,2026-08-01T05:16:30.222Z
2020,0000655,국제법률경영대학원대학교,대학원대학,전문대학원,경기,사립,51000,,,51000,1057753,4.8,2026-08-01T05:16:30.222Z
2020,0000649,수도국제대학원대학교,대학원대학,전문대학원,서울,사립,10000,131044,,141044,2195317,6.4,2026-08-01T05:16:30.222Z
2020,0000656,국제언어대학원대학교,대학원대학,전문대학원,서울,사립,334197,78627,,412824,518397,79.6,2026-08-01T05:16:30.222Z
2020,0002818,능인대학원대학교,대학원대학,전문대학원,경기,사립,282006,40706,,322712,498460,64.7,2026-08-01T05:16:30.222Z
2020,0000641,대한신학대학원대학교,대학원대학,전문대학원,경기,사립,,41912,,41912,1242644,3.4,2026-08-01T05:16:30.222Z
2020,0000669,동방문화대학원대학교,대학원대학,전문대학원,서울,사립,,78299,,78299,2805519,2.8,2026-08-01T05:16:30.222Z
2020,0000642,베뢰아국제대학원대학교,대학원대학,전문대학원,서울,사립,420000,80000,,500000,226015,221.2,2026-08-01T05:16:30.222Z
2020,0000670,북한대학원대학교,대학원대학,전문대학원,서울,사립,134000,102000,,236000,1414283,16.7,2026-08-01T05:16:30.222Z
