school_code_std,school_name,main_branch,school_type,region,establishment,related_law,corp_name,school_status,school_name_en,road_address,lot_address,zip_code,founded_date,homepage,uploaded_at
0002748,가야대학교(김해),본교,대학교,경남,사립,고등교육법,대구학원,기존,Kaya University,경상남도 김해시 삼계로 208 (삼계동),경상남도 김해시 삼계동 60,50830,1993-03-13,WWW.KAYA.AC.KR,2026-08-01T19:45:45.673Z
0002749,가야대학교(고령),제2캠퍼스,대학교,경북,사립,고등교육법,대구학원,기존,Kaya University,"경상북도 고령군 대가야읍 대가야로 1103 (지산리, 가야대학교)",경상북도 고령군 대가야읍 지산리 1000,40139,1993-03-13,WWW.KAYA.AC.KR,2026-08-01T19:45:45.673Z
0002800,신한대학교,제2캠퍼스,대학교,경기,사립,고등교육법,학교법인 신흥학원,기존,Shinhan University,"경기도 의정부시 호암로 95 (호원동, 신한대학교)",경기도 의정부시 호원동 117-1,11644,2014-03-01,www.shinhan.ac.kr/,2026-08-01T19:45:45.673Z
0002817,치유상담대학원대학교,본교,전문대학원,서울,사립,고등교육법,학교법인 살림동산학원,기존,Healing & Counseling Graduate University,"서울특별시 서초구 서초대로 121 (방배동, 원우빌딩)",서울특별시 서초구 방배동 877-16,06588,2014-09-01,www.hcg.ac.kr,2026-08-01T19:45:45.673Z
0002818,능인대학원대학교,본교,전문대학원,경기,사립,고등교육법,한국불교학원,기존,Nungin University,경기도 화성시 팔탄면 3.1만세로 694-57 (해창리),경기도 화성시 만세구 팔탄면 해창리 95-5,18582,2014-09-01,www.niu.ac.kr,2026-08-01T19:45:45.673Z
0002854,한국폴리텍 III 대학 원주캠퍼스,본교,기능대학,강원,사립,국민 평생 직업능력 개발법,한국폴리텍,기존,Wonju Campus Of Korea Polytechnic,강원특별자치도 원주시 북원로2425번길 73 (우산동),강원특별자치도 원주시 우산동 814-2,26406,1978-04-06,kopo.ac.kr/wonju,2026-08-01T19:45:45.673Z
0002857,구세군사관대학원대학교,본교,특수대학원,경기,사립,고등교육법,구세군학원,기존,Thesalvationarmygraduateuniversityforofficertraining,"경기도 과천시 관악산길 216 (중앙동, 구세군사관대학원대학교)",경기도 과천시 중앙동 83-2,13800,2015-03-01,www.gufot.ac.kr,2026-08-01T19:45:45.673Z
0002911,을지대학교,제3캠퍼스,대학교,경기,사립,고등교육법,을지학원,기존,Eulji University,경기도 의정부시 동일로 712 (금오동),경기도 의정부시 금오동 489,11759,1967-03-21,www.eulji.ac.kr,2026-08-01T19:45:45.673Z
0002912,한국폴리텍 I 대학 제주캠퍼스,본교,기능대학,제주,사립,국민 평생 직업능력 개발법,한국폴리텍,기존,Jeju Campus Of Korea Polytechnic,"제주특별자치도 제주시 산천단동3길 2 (아라일동, 한국폴리택대학제주캠퍼스)",제주특별자치도 제주시 아라일동 362-32,63243,1987-07-10,jeju.kopo.ac.kr,2026-08-01T19:45:45.673Z
0002928,국립암센터국제암대학원대학교,본교,전문대학원,경기,특별법법인,특별법법인,국립암센터,기존,National Cancer Center Graduate School Of Cancer Science And Policy,"경기도 고양시 일산동구 일산로 323 (마두동, 국립암센터)",경기도 고양시 일산동구 마두동 809,10408,2017-03-01,ncc-gcsp.ac.kr,2026-08-01T19:45:45.673Z
0002949,홍익대학교,제2캠퍼스,대학교,세종,사립,고등교육법,홍익학원,기존,Hongik University,"세종특별자치시 조치원읍 세종로 2639 (신안리, 홍익대학교세종캠퍼스)",세종특별자치시  조치원읍 신안리 300,30016,1946-04-25,www.hongik.ac.kr,2026-08-01T19:45:45.673Z
0002959,상명대학교,제2캠퍼스,대학교,충남,사립,고등교육법,상명학원,기존,Sangmyung University,"충청남도 천안시 동남구 상명대길 31 (안서동, 상명대학교천안캠퍼스)",충청남도 천안시 동남구 안서동 300,31066,1984-10-06,www.smuc.ac.kr,2026-08-01T19:45:45.673Z
0002971,군산간호대학교,본교,전문대학,전북,사립,고등교육법,경암학원,기존,Kunsan College Of Nursing,"전라북도 군산시 동개정길 7 (개정동, 군산간호대학교)",전북특별자치도 군산시 개정동 413-1,54068,1951-07-01,www.kcn.ac.kr,2026-08-01T19:45:45.673Z
0002972,기독간호대학교,본교,전문대학,전남광주,사립,고등교육법,광주기독병원교육재단,기존,Christian College Of Nursing,"전남광주통합특별시 남구 백서로70번길 6 (양림동, 기독간호대학)",전남광주통합특별시 남구 양림동 67-1,61662,1967-03-21,ccn.ac.kr,2026-08-01T19:45:45.673Z
0002973,서울여자간호대학교,본교,전문대학,서울,사립,고등교육법,의담학회,기존,Seoul Women'S College Of Nursing,"서울특별시 서대문구 간호대로 38 (홍제동, 서울여자간호대학교)",서울특별시 서대문구 홍제동 287-89,03617,1954-05-28,www.snjc.ac.kr,2026-08-01T19:45:45.673Z
0002974,조선간호대학교,본교,전문대학,전남광주,사립,고등교육법,조선대학교,기존,Chosun Nursing College,전남광주통합특별시 동구 조선대2길 70(서석동) 조선간호대학교,전남광주통합특별시 동구 서석동 280,61453,1971-12-23,www.cnc.ac.kr,2026-08-01T19:45:45.673Z
0002975,한국폴리텍 V 대학 순천캠퍼스,본교,기능대학,전남광주,사립,국민 평생 직업능력 개발법,한국폴리텍,기존,Suncheon Campus Of Korea Polytechnic V,"전남광주통합특별시 순천시 기적의도서관1길 41 (조례동, 한국폴리텍대학순천캠퍼스)",전남광주통합특별시 순천시 조례동 435-6,57975,1977-05-20,kopo.ac.kr/suncheon,2026-08-01T19:45:45.673Z
0003019,한국농수산대학교,본교,전문대학,전북,특별법국립,개별설치령에 의한 국립학교,해당없음,기존,Korea National University Of Agriculture And Fisheries,전라북도 전주시 덕진구 콩쥐팥쥐로 1515(중동),전북특별자치도 전주시 덕진구 중동 837,54874,1997-03-20,www.af.ac.kr,2026-08-01T19:45:45.673Z
0003022,한국전통문화대학교,본교,대학교,충남,특별법국립,특별법국립,해당없음,기존,Korea National University Of Heritage,"충청남도 부여군 규암면 백제문로 367 (합정리, 한국전통문화대학교)",충청남도 부여군 규암면 합정리 619,33115,2000-04-19,www.knuh.ac.kr,2026-08-01T19:45:45.673Z
0003104,한국폴리텍 특성화대학 로봇캠퍼스,본교,기능대학,경북,사립,국민 평생 직업능력 개발법,한국폴리텍,기존,robot campus of korea polytechnic,경상북도 영천시 로봇캠퍼스로 1 (화룡동),경상북도 영천시 화룡동 989,38839,2021-03-02,www.kopo.ac.kr/robot/index.do,2026-08-01T19:45:45.673Z
0003105,한국폴리텍 II 대학 화성캠퍼스,본교,기능대학,경기,사립,국민 평생 직업능력 개발법,한국폴리텍,기존,Hwaseong Campus of KOREA POLYTECHNIC,경기도 화성시 팔탄면 제암고주로 108,경기도 화성시 만세구 팔탄면 고주리 196-1,18534,1998-02-05,www.kopo.ac.kr/hwaseong,2026-08-01T19:45:45.673Z
0003139,한국에너지공과대학교,본교,대학교,전남광주,특별법법인,특별법법인,학교법인 한국에너지공과대학교,기존,Korea Institute of Energy Technology,전남광주통합특별시 나주시 켄텍길 21(빛가람동),전남광주통합특별시 나주시 빛가람동 908-1,58330,2022-03-02,www.kentech.ac.kr/,2026-08-01T19:45:45.673Z
