year,half,school_kind,estb,school_division,region,status,school_code_std,school_name,student_quota,recruitment_suspension,enrolled_total,enrolled_within,enrolled_outside,fill_rate,fill_rate_within,uploaded_at
2024,하반기,대학교,사립,,경남,기존,0000059,경남대학교,9069,0,8163,7330,833,90,80.8,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,경남,기존,0000059,경남대학교,8287,0,8352,7458,894,100.8,90,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,강원,기존,0000060,경동대학교,45,0,1052,47,1005,2337.8,104.4,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,강원,기존,0000060,경동대학교,3,0,1126,32,1094,37533.3,1066.7,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,강원,기존,0002574,경동대학교_제3캠퍼스,3714,0,3527,3191,336,95,85.9,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,강원,기존,0002574,경동대학교_제3캠퍼스,3608,0,3566,3240,326,98.8,89.8,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,경기,기존,0002744,경동대학교_제4캠퍼스,2639,0,2200,2136,64,83.4,80.9,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,경기,기존,0002744,경동대학교_제4캠퍼스,2698,0,2453,2365,88,90.9,87.7,2026-08-07T09:07:29.509Z
2024,하반기,대학교,국립,,대구,기존,0000005,경북대학교,19497,0,20150,18085,2065,103.3,92.8,2026-08-07T09:07:29.509Z
2025,상반기,대학교,국립,,대구,기존,0000005,경북대학교,19169,0,22562,20386,2176,117.7,106.3,2026-08-07T09:07:29.509Z
2024,하반기,대학교,국립,,경남,기존,0000007,경상국립대학교,16204,0,13794,12735,1059,85.1,78.6,2026-08-07T09:07:29.509Z
2025,상반기,대학교,국립,,경남,기존,0000007,경상국립대학교,17518,0,16424,15263,1161,93.8,87.1,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,부산,기존,0000062,경성대학교,11120,0,11669,9437,2232,104.9,84.9,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,부산,기존,0000062,경성대학교,11095,0,12568,10134,2434,113.3,91.3,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,경북,기존,0000244,경운대학교,4736,0,4843,4071,772,102.3,86,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,경북,기존,0000244,경운대학교,4736,0,5074,4207,867,107.1,88.8,2026-08-07T09:07:29.509Z
2024,하반기,교육대학,국립,,인천,기존,0000256,경인교육대학교,2392,0,1116,1024,92,46.7,42.8,2026-08-07T09:07:29.509Z
2025,상반기,교육대학,국립,,인천,기존,0000256,경인교육대학교,2320,0,1132,1037,95,48.8,44.7,2026-08-07T09:07:29.509Z
2024,하반기,교육대학,국립,,경기,기존,0000257,경인교육대학교_제2캠퍼스,0,0,1175,1063,112,0,0,2026-08-07T09:07:29.509Z
