year,school_code_std,school_name,school_division,school_kind,region,estb,tuition_revenue,school_operating_revenue,industry_operating_revenue,total_operating_revenue,tuition_dependency_rate,uploaded_at
2020,0000102,동덕여자대학교,대학,대학교,서울,사립,52311935.33,80050632.13,4242042.642,84292674.77,62.1,2026-08-01T04:06:42.106Z
2020,0000235,동명대학교,대학,대학교,부산,사립,52533682.72,86124107.74,16529410.15,102653517.9,51.2,2026-08-01T04:06:42.106Z
2020,0000103,동서대학교,대학,대학교,부산,사립,67662502.76,112182392.5,14558713.6,126741106.1,53.4,2026-08-01T04:06:42.106Z
2020,0000104,동신대학교,대학,대학교,전남,사립,43864479.51,71446662.61,14397503.76,85844166.37,51.1,2026-08-01T04:06:42.106Z
2020,0000105,동아대학교,대학,대학교,부산,사립,138086062.4,220916430.3,46588167.68,267504597.9,51.6,2026-08-01T04:06:42.106Z
2020,0000106,동양대학교,대학,대학교,경북,사립,26398333.51,38266219.08,2188900.381,40455119.46,65.3,2026-08-01T04:06:42.106Z
2020,0000107,동의대학교,대학,대학교,부산,사립,101102346.3,155366983,24232065.36,179599048.3,56.3,2026-08-01T04:06:42.106Z
2020,0000108,루터대학교,대학,대학교,경기,사립,2500677.2,5923622.572,1991.185,5925613.757,42.2,2026-08-01T04:06:42.106Z
2020,0000109,명지대학교,대학,대학교,경기,사립,130128966.2,182660731,41549589.33,224210320.3,58,2026-08-01T04:06:42.106Z
2020,0000112,목원대학교,대학,대학교,대전,사립,56116572.73,84359351.42,4365539.301,88724890.72,63.2,2026-08-01T04:06:42.106Z
2020,0000221,목포가톨릭대학교,대학,대학교,전남,사립,3258564.166,6792980.892,200169.629,6993150.521,46.6,2026-08-01T04:06:42.106Z
2020,0000113,배재대학교,대학,대학교,대전,사립,57936664.59,93004334.05,19383772.96,112388107,51.6,2026-08-01T04:06:42.106Z
2020,0000178,백석대학교,대학,대학교,충남,사립,107357956.7,150669149.4,14073284.48,164742433.9,65.2,2026-08-01T04:06:42.106Z
2020,0000114,부산가톨릭대학교,대학,대학교,부산,사립,26170761.72,45663595.38,8468470.915,54132066.3,48.3,2026-08-01T04:06:42.106Z
2020,0000115,부산외국어대학교,대학,대학교,부산,사립,49311188.29,78950710.95,3707183.674,82657894.63,59.7,2026-08-01T04:06:42.106Z
2020,0000222,부산장신대학교,대학,대학교,경남,사립,2415840.33,4238153.371,0,0,0,2026-08-01T04:06:42.106Z
2020,0000116,삼육대학교,대학,대학교,서울,사립,46201973.16,73711217.64,7149648.764,80860866.4,57.1,2026-08-01T04:06:42.106Z
2020,0000117,상명대학교,대학,대학교,서울,사립,107670378.7,153803247.1,37424657.74,191227904.8,56.3,2026-08-01T04:06:42.106Z
2020,0000119,상지대학교,대학,대학교,강원,사립,55415339.59,76116130.94,10384411.44,86500542.38,64.1,2026-08-01T04:06:42.106Z
2020,0000120,서강대학교,대학,대학교,서울,사립,102451524,143765889.8,66727248.81,210493138.7,48.7,2026-08-01T04:06:42.106Z
2020,0000121,서경대학교,대학,대학교,서울,사립,49019921.07,75502369.29,10346372.36,85848741.65,57.1,2026-08-01T04:06:42.106Z
