year,school_code_std,school_name,corp_name,school_division,region,estb,school_status,land_appraised,land_net_income,building_appraised,building_net_income,securities_appraised,securities_net_income,deposit_appraised,deposit_net_income,other_appraised,other_net_income,collateral_deduction,total_appraised,total_net_income,uploaded_at
2025,0000064,경일대학교,일청학원,대학,경북,사립,기존,33597767,45455,16588458,0,0,0,1450712,30640,0,0,0,51636937,76095,2026-08-06T23:37:18.005Z
2025,0000066,경희대학교,경희학원,대학,서울,사립,기존,60643065,0,24315476,9640000,0,0,29778745,1081514,0,0,0,114737286,10721514,2026-08-06T23:37:18.005Z
2025,0000318,경희사이버대학교,경희학원,대학,서울,사립,기존,60643065,0,24315476,9640000,0,0,29778745,1081514,0,0,0,114737286,10721514,2026-08-06T23:37:18.005Z
2025,0000068,계명대학교,계명대학교,대학,대구,사립,기존,128601904,0,20518633,803631,55640,0,7430000,252369,0,0,0,156606177,1056000,2026-08-06T23:37:18.005Z
2025,0000425,계명문화대학교,계명대학교,전문대학,대구,사립,기존,128601904,0,20518633,803631,55640,0,7430000,252369,0,0,0,156606177,1056000,2026-08-06T23:37:18.005Z
2025,0002643,계약신학대학원대학교,계약학원,대학원대학,경기,사립,폐교,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-08-06T23:37:18.005Z
2025,0000426,계원예술대학교,계원학원,전문대학,경기,사립,기존,0,0,0,0,42642360,372000,2238700,72696,0,0,0,44881060,444696,2026-08-06T23:37:18.005Z
2025,0000069,고려대학교,고려중앙학원,대학,서울,사립,기존,126883894,36460,43109490,18133758,10646067,331533,9671390,293268,0,0,0,190310841,18795019,2026-08-06T23:37:18.005Z
2025,0000328,고려사이버대학교,고려중앙학원,대학,서울,사립,기존,126883894,36460,43109490,18133758,10646067,331533,9671390,293268,0,0,0,190310841,18795019,2026-08-06T23:37:18.005Z
2025,0000071,고신대학교,대한예수교장로회총회고려학원,대학,부산,사립,기존,7776123,0,5524758,600000,0,0,0,0,0,0,0,13300881,600000,2026-08-06T23:37:18.005Z
2025,0000073,광신대학교,광신학원,대학,광주,사립,기존,4846540,0,52439,0,0,0,2322632,14628,0,0,0,7221611,14628,2026-08-06T23:37:18.005Z
2025,0000428,광양보건대학교,양남학원,전문대학,전남,사립,기존,684917,0,0,0,0,0,0,0,0,0,0,684917,0,2026-08-06T23:37:18.005Z
2025,0000074,광운대학교,광운학원,대학,서울,사립,기존,11679694,0,586650,288000,0,0,2218386,64372,0,46000,0,14484730,398372,2026-08-06T23:37:18.005Z
2025,0000075,광주가톨릭대학교,대건학당,대학,전남,사립,기존,0,0,0,0,0,0,934397,36033,0,0,0,934397,36033,2026-08-06T23:37:18.005Z
2025,0000231,광주대학교,호심학원,대학,광주,사립,기존,7618119,0,1760893,296906,20140383,1378203,600000,0,555005,0,0,30674400,1675109,2026-08-06T23:37:18.005Z
2025,0000429,광주보건대학교,전라기독학원,전문대학,광주,사립,기존,140090,0,0,0,0,0,2435400,108785,0,0,0,2575490,108785,2026-08-06T23:37:18.005Z
2025,0000076,광주여자대학교,송강학원,대학,광주,사립,기존,4587955,0,1242553,62876,0,0,9643329,43346,0,0,0,15473837,106222,2026-08-06T23:37:18.005Z
2025,0000430,구미대학교,구미교육재단,전문대학,경북,사립,기존,7638563,0,2128400,18000,904850,0,233667,0,0,0,0,10905480,18000,2026-08-06T23:37:18.005Z
2025,0002857,구세군사관대학원대학교,구세군학원,대학원대학,경기,사립,기존,0,0,5588284,180000,0,0,300000,0,0,0,0,5888284,180000,2026-08-06T23:37:18.005Z
2025,0000078,국민대학교,국민학원,대학,서울,사립,기존,146820143,2720000,20362050,0,988669,0,16217355,0,0,0,1300000,183088217,2720000,2026-08-06T23:37:18.005Z
2025,0000657,국제뇌교육종합대학원대학교,한문화학원,대학원대학,충남,사립,기존,0,0,6320439,563592,262250,3264,0,0,0,0,270000,6312689,566856,2026-08-06T23:37:18.005Z
2025,0000549,국제대학교,국제대학교,전문대학,경기,사립,기존,1180108,0,2098538,91000,3771560,0,1601822,54776,0,0,0,8652028,145776,2026-08-06T23:37:18.005Z
2025,0000655,국제법률경영대학원대학교,국제법률경영학원,대학원대학,경기,사립,기존,1524967,0,652000,0,0,0,0,0,0,0,1271623,905344,0,2026-08-06T23:37:18.005Z
2025,0000319,국제사이버대학교,광동학원,대학,경기,사립,기존,2744335,1200,3076260,143063,925258,2380,0,0,0,0,67166,6678687,146643,2026-08-06T23:37:18.005Z
2025,0000656,국제언어대학원대학교,혁제학원,대학원대학,서울,사립,기존,0,0,0,0,0,0,3000000,113090,0,0,0,3000000,113090,2026-08-06T23:37:18.005Z
2025,0002971,군산간호대학교,경암학원,전문대학,전북,사립,기존,7284409,0,3802964,0,0,0,1451351,42543,0,0,0,12538724,42543,2026-08-06T23:37:18.005Z
2025,0000432,군장대학교,광동학원,전문대학,전북,사립,기존,2744335,1200,3076260,143063,925258,2380,0,0,0,0,67166,6678687,146643,2026-08-06T23:37:18.005Z
2025,0000080,극동대학교,일현학원,대학,충북,사립,기존,17416800,0,1803266,26000,19260,0,830000,27600,0,0,388697,19680629,53600,2026-08-06T23:37:18.005Z
2025,0000334,글로벌사이버대학교,한문화학원,대학,충남,사립,기존,0,0,6320439,563592,262250,3264,0,0,0,0,270000,6312689,566856,2026-08-06T23:37:18.005Z
2025,0000224,금강대학교,금강대학교,대학,충남,사립,기존,0,0,0,0,2520000,0,2731624,117662,0,0,0,5251624,117662,2026-08-06T23:37:18.005Z
2025,0002972,기독간호대학교,광주기독병원교육재단,전문대학,광주,사립,기존,3913449,0,105099,7870,0,0,135232,4429,0,0,0,4153780,12299,2026-08-06T23:37:18.005Z
2025,0000241,김천대학교,김천대학교,대학,경북,사립,기존,16887369,0,2026648,0,0,0,9333552,20490,0,0,0,28247569,20490,2026-08-06T23:37:18.005Z
2025,0000440,김포대학교,학교법인 김포대학,전문대학,경기,사립,기존,3236392,0,0,0,0,0,6423279,252504,0,0,0,9659671,252504,2026-08-06T23:37:18.005Z
2025,0000569,김해대학교,영해학원,전문대학,경남,사립,기존,3870350,0,500257,105136,5763106,114864,0,0,0,0,0,10133713,220000,2026-08-06T23:37:18.005Z
2025,0000081,나사렛대학교,나사렛학원,대학,충남,사립,기존,2461509,0,2175666,38500,0,0,220000,0,0,0,1100658,3756517,38500,2026-08-06T23:37:18.005Z
2025,0000435,나주대학교,아신학원,전문대학,전남,사립,기존,1093123,0,3530725,4,0,0,0,0,0,0,2010000,2613848,4,2026-08-06T23:37:18.005Z
2025,0000216,남부대학교,우암학원,대학,광주,사립,기존,9523765,77323,8652475,386490,0,0,2027327,3187,45802,0,0,20249369,467000,2026-08-06T23:37:18.005Z
2025,0000245,남서울대학교,성암학원,대학,충남,사립,기존,32347580,0,3056308,845283,0,0,1760961,0,4069551,0,80000,41154400,845283,2026-08-06T23:37:18.005Z
2025,0000276,남서울대학교(산업대),성암학원,대학,충남,사립,폐교,32347580,0,3056308,845283,0,0,1760961,0,4069551,0,80000,41154400,845283,2026-08-06T23:37:18.005Z
2025,0000441,농협대학교,농협학원,전문대학,경기,사립,기존,0,0,0,0,0,0,441500,15774,0,0,0,441500,15774,2026-08-06T23:37:18.005Z
2025,0002818,능인대학원대학교,한국불교학원,대학원대학,경기,사립,기존,4344357,0,5574000,0,0,0,1000000,0,0,0,2905000,8013357,0,2026-08-06T23:37:18.005Z
2025,0000082,단국대학교,단국대학,대학,경기,사립,기존,440426595,113309,28296124,1070705,473571,4963,0,0,0,1615563,0,469196290,2804540,2026-08-06T23:37:18.005Z
2025,0000442,대경대학교,중암학원,전문대학,경북,사립,기존,0,0,0,0,0,0,1243172,47509,0,0,0,1243172,47509,2026-08-06T23:37:18.005Z
2025,0000088,대구가톨릭대학교,선목학원,대학,경북,사립,기존,15289953,21000,674388,50000,0,0,22000000,925585,0,0,0,37964341,996585,2026-08-06T23:37:18.005Z
2025,0000443,대구공업대학교,대구학원,전문대학,대구,사립,기존,21247335,8000,3299875,360181,0,0,600056,22240,0,0,0,25147266,390421,2026-08-06T23:37:18.005Z
2025,0000446,대구과학대학교,한별학숙,전문대학,대구,사립,기존,3718951,274561,0,0,1339668,30808,1293874,55434,0,0,0,6352493,360803,2026-08-06T23:37:18.005Z
2025,0000084,대구대학교,영광학원,대학,경북,사립,기존,52520018,15970,1002157,244800,0,0,8762410,430268,0,0,0,62284585,691038,2026-08-06T23:37:18.005Z
2025,0000444,대구보건대학교,배영학숙,전문대학,대구,사립,기존,7900980,36084,5193722,1800,0,0,1132197,38685,0,0,6500000,7726899,76569,2026-08-06T23:37:18.005Z
2025,0000320,대구사이버대학교,영광학원,대학,경북,사립,기존,52520018,15970,1002157,244800,0,0,8762410,430268,0,0,0,62284585,691038,2026-08-06T23:37:18.005Z
2025,0000087,대구예술대학교,세기학원,대학,경북,사립,기존,3670419,115720,0,0,0,0,695719,26806,0,0,0,4366138,142526,2026-08-06T23:37:18.005Z
2025,0000061,대구한의대학교,제한학원,대학,경북,사립,기존,7468838,0,1752847,36800,0,0,180554,12788,0,100000,0,9402239,149588,2026-08-06T23:37:18.005Z
2025,0000546,대덕대학교,창성학원,전문대학,대전,사립,기존,13215819,27600,1807408,213698,0,0,10187823,358822,0,0,0,25211050,600120,2026-08-06T23:37:18.005Z
2025,0000447,대동대학교,화봉학원,전문대학,부산,사립,기존,54357847,0,18024637,44000,1515619,294000,166807,11,0,0,7937809,66127101,338011,2026-08-06T23:37:18.005Z
