year,cohort,school_rep_code,school_rep_name,region,estb,school_division,admission_quota,recruit_total,recruit_within,recruit_outside,enrolled_total,enrolled_within,enrolled_outside,fill_rate_within,fill_rate_within_outside,campus_count,grad_program_count,has_alimi,updated_at
2025,junior-college,0000249,가톨릭상지대학교,경북,사립,전문대학,516,743,516,227,675,489,186,94.8,90.8,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000293,경북과학대학교,경북,사립,전문대학,667,1191,667,524,1112,667,445,100,93.4,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000523,경북보건대학교,경북,사립,전문대학,356,519,356,163,411,338,73,94.9,79.2,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000258,경북전문대학교,경북,사립,전문대학,796,1477,796,681,1079,646,433,81.2,73.1,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000268,구미대학교,경북,사립,전문대학,1351,3223,1351,1872,3223,1351,1872,100,100,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000279,대경대학교,경북,사립,전문대학,1422,2068,1422,646,1844,1361,483,95.7,89.2,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000309,문경대학교,경북,사립,전문대학,259,361,259,102,189,176,13,68,52.4,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000380,선린대학교,경북,사립,전문대학,632,953,632,321,828,613,215,97,86.9,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000547,성운대학교,경북,사립,전문대학,540,973,540,433,787,540,247,100,80.9,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000338,안동과학대학교,경북,사립,전문대학,654,979,654,325,789,592,197,90.5,80.6,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000257,영남외국어대학,경북,사립,전문대학,278,310,278,32,203,197,6,70.9,65.5,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000381,포항대학교,경북,사립,전문대학,695,1424,695,729,584,564,20,81.2,41,1,0,Y,2026-08-15T03:27:05.075Z
