year,cohort,school_rep_code,school_rep_name,region,estb,school_division,ordinary_expense_transfer,legal_obligation_transfer,asset_transfer,total_transfer,tuition_revenue,transfer_ratio,campus_count,has_alimi,updated_at
2020,university,0000063,대구가톨릭대학교,경북,사립,대학,0,6201020,0,6201020,92699560.34,6.7,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000061,대구대학교,경북,사립,대학,1430000,150000,0,1580000,124908128.4,1.3,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000062,대구예술대학교,경북,사립,대학,0,15000,0,15000,7638563.21,0.2,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000042,대구한의대학교,경북,사립,대학,0,320000,0,320000,49198346.28,0.7,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000065,대신대학교,경북,사립,대학,20000,200000,0,220000,3634566.22,6.1,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000076,동양대학교,경북,사립,대학,0,47408,0,47408,26398333.51,0.2,2,Y,2026-08-15T06:50:35.100Z
2020,university,0000111,영남대학교,경북,사립,대학,0,7500000,0,7500000,170120987.3,4.4,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000112,영남신학대학교,경북,사립,대학,29415,233848,0,263263,4314826.971,6.1,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000119,위덕대학교,경북,사립,대학,0,480000,0,480000,20582160.27,2.3,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000140,포항공과대학교,경북,사립,대학,53077489.72,4718122.247,1417247.333,59212859.3,23776146.5,249,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000146,한동대학교,경북,사립,대학,1731694.985,2181805.015,0,3913500,31647906.04,12.4,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000052,광신대학교,광주,사립,대학,952500,326422.948,0,1278922.9479999999,5515697.34,23.2,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000176,광주대학교,광주,사립,대학,20000,1400000,0,1420000,44202213.85,3.2,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000055,광주여자대학교,광주,사립,대학,10000,395000,0,405000,24667440.93,1.6,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000162,남부대학교,광주,사립,대학,0,115000,0,115000,21387951.33,0.5,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000187,송원대학교,광주,사립,대학,3000000,1000000,0,4000000,18651519.03,21.4,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000127,조선대학교,광주,사립,대학,0,950000,0,950000,145566169.6,0.7,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000157,호남대학교,광주,사립,대학,26500,482000,0,508500,48697699.31,1,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000158,호남신학대학교,광주,사립,대학,150000,300245.85,0,450245.85,5426029.324,8.3,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000048,계명대학교,대구,사립,대학,361200,7566333.58,0,7927533.58,163092513.7,4.9,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000067,대전대학교,대전,사립,대학,122000,780000,0,902000,68080580.39,1.3,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000182,대전신학대학교,대전,사립,대학,374.45,40000,0,40374.45,1025169.167,3.9,1,Y,2026-08-15T06:50:35.100Z
