school_code_std,school_name,main_branch,school_type,establishment,road_address,lot_address,sido,sigungu,lng,lat,geocoded_at
0000058,경기대학교,제2캠퍼스,대학교,사립,"서울특별시 서대문구 경기대로9길 24 (충정로2가, 경기대학교)",서울특별시 서대문구 충정로2가 68-9,서울특별시,서대문구,126.96224300874167,37.56475126178347,2026-08-01T20:12:16.527Z
0000059,경남대학교,본교,대학교,사립,"경상남도 창원시 마산합포구 경남대학로 7 (월영동, 경남대학교)",경상남도 창원시 마산합포구 월영동 355-1,경상남도,창원시,128.552188863967,35.18372782506245,2026-08-01T20:12:16.527Z
0002640,경남정보대학교,본교,전문대학,사립,"부산광역시 사상구 주례로 45 (주례동, 경남정보대학교)",부산광역시 사상구 주례동 166-206,부산광역시,사상구,129.01120853196664,35.146557113839265,2026-08-01T20:12:16.527Z
0000060,경동대학교,본교,대학교,사립,강원특별자치도 고성군 토성면 봉포4길 46,강원특별자치도 고성군 토성면 봉포리 306-4,강원특별자치도,고성군,128.55767454111754,38.25075465567367,2026-08-01T20:12:16.527Z
0002573,경동대학교,제2캠퍼스,대학교,사립,강원특별자치도 속초시 도리원길 5 (노학동),강원특별자치도 속초시 노학동 635-1,강원특별자치도,속초시,128.55165007141176,38.19355555511113,2026-08-01T20:12:16.527Z
0002574,경동대학교,제3캠퍼스,대학교,사립,강원특별자치도 원주시 문막읍 견훤로 815,강원특별자치도 원주시 문막읍 후용리 882,강원특별자치도,원주시,127.79230330032595,37.26473244153854,2026-08-01T20:12:16.527Z
0002744,경동대학교,제4캠퍼스,대학교,사립,경기도 양주시 경동대학로 27 (고암동),경기도 양주시 고암동 417-8,경기도,양주시,127.0705297402466,37.809461771571996,2026-08-01T20:12:16.527Z
0000416,경민대학교,본교,전문대학,사립,"경기도 의정부시 서부로 545 (가능동, 경민대학)",경기도 의정부시 가능동 572-1,경기도,의정부시,127.02317210455698,37.745308850149684,2026-08-01T20:12:16.527Z
0002641,경복대학교,본교,전문대학,사립,"경기도 남양주시 진접읍 경복대로 425 (금곡리, 경복대학교)",경기도 남양주시 진접읍 금곡리 383,경기도,남양주시,127.21160361286917,37.735102871905795,2026-08-01T20:12:16.527Z
0000456,경북과학대학교,본교,전문대학,사립,"경상북도 칠곡군 기산면 지산로 634 (봉산리, 경북과학대학교)",경상북도 칠곡군 기산면 봉산리 123,경상북도,칠곡군,128.34641074112042,35.98250306133498,2026-08-01T20:12:16.527Z
0000005,경북대학교,본교,대학교,국립,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",대구광역시 북구 대현동 25,대구광역시,북구,128.60771577707115,35.88772022408881,2026-08-01T20:12:06.629Z
0000438,경북보건대학교,본교,전문대학,사립,"경상북도 김천시 대학로 168 (삼락동, 경북보건대학교)",경상북도 김천시 삼락동 480,경상북도,김천시,128.0842781088265,36.13857442129314,2026-08-01T20:12:16.527Z
0002642,경북전문대학교,본교,전문대학,사립,"경상북도 영주시 대학로 77 (휴천동, 경북전문대학교)",경상북도 영주시 휴천동 630,경상북도,영주시,128.6156411427105,36.80402514475081,2026-08-01T20:12:16.527Z
0000007,경상국립대학교,본교,대학교,국립,경상남도 진주시 진주대로 501 (가좌동),경상남도 진주시 가좌동 879,경상남도,진주시,128.0954225134876,35.153847368166495,2026-08-01T20:12:16.527Z
0000062,경성대학교,본교,대학교,사립,"부산광역시 남구 수영로 309 (대연동, 경성대학교)",부산광역시 남구 대연동 314-81,부산광역시,남구,129.10010314519482,35.13848771570923,2026-08-01T20:12:16.527Z
0000244,경운대학교,본교,대학교,사립,경상북도 구미시 산동읍 강동로 730,경상북도 구미시 산동읍 인덕리 161-5,경상북도,구미시,128.46904977171752,36.16924225664104,2026-08-01T20:12:16.527Z
0000422,경인여자대학교,본교,전문대학,사립,"인천광역시 계양구 계양산로 63 (계산동, 경인여자대학)",인천광역시 계양구 계산동 548-4,인천광역시,계양구,126.72314210051782,37.54798156048118,2026-08-01T20:12:16.527Z
0000064,경일대학교,본교,대학교,사립,"경상북도 경산시 하양읍 가마실길 50 (부호리, 경일대학교)",경상북도 경산시 하양읍 부호리 33,경상북도,경산시,128.80027066048885,35.91008796879037,2026-08-01T20:12:16.527Z
0000066,경희대학교,본교,대학교,사립,"서울특별시 동대문구 경희대로 26 (회기동, 경희대학교)",서울특별시 동대문구 회기동 1-5,서울특별시,동대문구,127.05146101237986,37.594408964481374,2026-08-01T20:12:16.527Z
