year,cohort,school_rep_code,school_rep_name,region,estb,school_division,appraised_gross,collateral_deduction,appraised_net,income_total,tuition_revenue,secure_rate,revenue_rate,campus_count,has_alimi,updated_at
2021,university,0000046,경주대학교,경북,사립,대학,4110991,396000,3714991,48192,6976203.03,53.3,1.2,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000185,김천대학교,경북,사립,대학,28725117,0,28725117,99640,20362791.77,141.1,0.3,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000063,대구가톨릭대학교,경북,사립,대학,33667409,0,33667409,245536,92699560.34,36.3,0.7,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000061,대구대학교,경북,사립,대학,47126145,0,47126145,475058,124908128.4,37.7,1,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000062,대구예술대학교,경북,사립,대학,4233430,30000,4203430,109567,7638563.21,55,2.6,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000042,대구한의대학교,경북,사립,대학,9586727,0,9586727,119679,49198346.28,19.5,1.2,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000065,대신대학교,경북,사립,대학,4096493,0,4096493,11769,3634566.22,112.7,0.3,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000076,동양대학교,경북,사립,대학,10798899,0,10798899,64353,26398333.51,40.9,0.6,2,Y,2026-08-15T07:41:06.072Z
2021,university,0000111,영남대학교,경북,사립,대학,53683916,0,53683916,796030,170120987.3,31.6,1.5,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000112,영남신학대학교,경북,사립,대학,3664429,0,3664429,28007,4314826.971,84.9,0.8,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000119,위덕대학교,경북,사립,대학,12477287,0,12477287,233051,20582160.27,60.6,1.9,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000140,포항공과대학교,경북,사립,대학,143654701,0,143654701,3645772,23776146.5,604.2,2.5,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000146,한동대학교,경북,사립,대학,51082547,0,51082547,68268,31647906.04,161.4,0.1,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000052,광신대학교,광주,사립,대학,8684304,100000,8584304,127299,5515697.34,155.6,1.5,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000176,광주대학교,광주,사립,대학,34646494,0,34646494,1245343,44202213.85,78.4,3.6,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000055,광주여자대학교,광주,사립,대학,13915974,2658850,11257124,172612,24667440.93,45.6,1.2,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000162,남부대학교,광주,사립,대학,17377591,0,17377591,388000,21387951.33,81.2,2.2,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000187,송원대학교,광주,사립,대학,12527504,0,12527504,128251,18651519.03,67.2,1,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000127,조선대학교,광주,사립,대학,72338289,0,72338289,1317900,145566169.6,49.7,1.8,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000157,호남대학교,광주,사립,대학,14696657,0,14696657,735200,48697699.31,30.2,5,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000158,호남신학대학교,광주,사립,대학,5122341,0,5122341,48930,5426029.324,94.4,1,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000048,계명대학교,대구,사립,대학,133320868,0,133320868,3047700,163092513.7,81.7,2.3,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000067,대전대학교,대전,사립,대학,21205339,0,21205339,41196,68080580.39,31.1,0.2,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000182,대전신학대학교,대전,사립,대학,2683659,0,2683659,29960,1025169.167,261.8,1.1,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000080,목원대학교,대전,사립,대학,11836846,55000,11781846,60000,56116572.73,21,0.5,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000081,배재대학교,대전,사립,대학,155578202,50285297,105292905,5364600,57936664.59,181.7,3.4,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000184,우송대학교,대전,사립,대학,80009107,0,80009107,2477467,72726545.89,110,3.1,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000120,을지대학교,대전,사립,대학,164786409,0,164786409,2030754,42352121.33,389.1,1.2,3,Y,2026-08-15T07:41:06.072Z
2021,university,0000551,한국침례신학대학교,대전,사립,대학,5520596,0,5520596,41730,11679117.84,47.3,0.8,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000145,한남대학교,대전,사립,대학,23007606,4435000,18572606,82595,84485082.32,22,0.4,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000043,경성대학교,부산,사립,대학,10461857,0,10461857,43675,82234747.23,12.7,0.4,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000050,고신대학교,부산,사립,대학,14104340,0,14104340,550000,29690495.26,47.5,3.9,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000180,동명대학교,부산,사립,대학,57895294,0,57895294,1234466,52533682.72,110.2,2.1,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000073,동서대학교,부산,사립,대학,52630528,5705990,46924538,1185000,67662502.76,69.4,2.3,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000075,동아대학교,부산,사립,대학,58847904,23817248,35030656,347595,138086062.4,25.4,0.6,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000077,동의대학교,부산,사립,대학,42633609,0,42633609,704844,101102346.3,42.2,1.7,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000082,부산가톨릭대학교,부산,사립,대학,4371834,0,4371834,145147,26170761.72,16.7,3.3,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000083,부산외국어대학교,부산,사립,대학,13542409,0,13542409,35991,49311188.29,27.5,0.3,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000106,신라대학교,부산,사립,대학,13174179,245106,12929073,55152,56650737.02,22.8,0.4,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000035,감리교신학대학교,서울,사립,대학,42529074,2728869,39800205,140000,9013573.55,441.6,0.3,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000037,건국대학교,서울,사립,대학,1747037261,701004754,1046032507,2780197,232698112.1,449.5,0.2,2,Y,2026-08-15T07:41:06.072Z
2021,university,0000047,경희대학교,서울,사립,대학,114421128,3347000,111074128,8419358,289984318.4,38.3,7.4,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000049,고려대학교,서울,사립,대학,176129195,0,176129195,16133040,352941598.1,49.9,9.2,2,Y,2026-08-15T07:41:06.072Z
2021,university,0000053,광운대학교,서울,사립,대학,22137828,0,22137828,365384,76370613.3,29,1.7,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000056,국민대학교,서울,사립,대학,159008491,0,159008491,6500000,151941941.7,104.7,4.1,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000070,덕성여자대학교,서울,사립,대학,274591886,0,274591886,8955456,41306777.17,664.8,3.3,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000071,동국대학교,서울,사립,대학,142901459,0,142901459,5953042,214686985.9,66.6,4.2,2,Y,2026-08-15T07:41:06.072Z
2021,university,0000072,동덕여자대학교,서울,사립,대학,91204458,1472971,89731487,1035920,52311935.33,171.5,1.1,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000084,삼육대학교,서울,사립,대학,79350372,0,79350372,4726247,46201973.16,171.7,6,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000085,상명대학교,서울,사립,대학,38074888,0,38074888,457960,107670378.7,35.4,1.2,2,Y,2026-08-15T07:41:06.072Z
2021,university,0000087,서강대학교,서울,사립,대학,52169053,9722252,42446801,385459,102451524,41.4,0.7,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000088,서경대학교,서울,사립,대학,38270840,2831935,35438905,811367,49019921.07,72.3,2.1,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000069,서울기독대학교,서울,사립,대학,0,0,0,0,0,,,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000091,서울여자대학교,서울,사립,대학,9726236,0,9726236,226500,53089895.47,18.3,2.3,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000539,서울한영대학교,서울,사립,대학,4415635,370000,4045635,12000,6045081.03,66.9,0.3,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000096,성공회대학교,서울,사립,대학,1040000,0,1040000,16827,17041987.23,6.1,1.6,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000097,성균관대학교,서울,사립,대학,38336784,0,38336784,26453,271257112.1,14.1,0.1,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000098,성신여자대학교,서울,사립,대학,16523229,182000,16341229,276785,75745580.17,21.6,1.7,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000100,세종대학교,서울,사립,대학,303596075,0,303596075,1849685,120201796.1,252.6,0.6,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000103,숙명여자대학교,서울,사립,대학,14904027,0,14904027,120000,103145047.7,14.4,0.8,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000105,숭실대학교,서울,사립,대학,26364258,420416,25943842,466038,135433853.5,19.2,1.8,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000110,연세대학교,서울,사립,대학,1020866078,14366761,1006499317,66317752,391949729.3,256.8,6.5,2,Y,2026-08-15T07:41:06.072Z
2021,university,0000121,이화여자대학교,서울,사립,대학,180633898,0,180633898,5474449,201722872.4,89.5,3,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000125,장로회신학대학교,서울,사립,대학,12244961,0,12244961,123780,16144372.56,75.8,1,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000129,중앙대학교,서울,사립,대학,167156427,0,167156427,345684,261283131.8,64,0.2,2,Y,2026-08-15T07:41:06.072Z
2021,university,0000133,총신대학교,서울,사립,대학,10979889,235000,10744889,64281,25697682.35,41.8,0.6,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000134,추계예술대학교,서울,사립,대학,24564100,0,24564100,113273,10830626.28,226.8,0.5,1,Y,2026-08-15T07:41:06.072Z
