year,school_code_std,school_name,main_branch_name,school_rep_code,school_rep_name,parent_school_name,school_division,school_kind,region,estb,related_law,corp_name,status,student_aid_restrict,provisional_board,no_settlement,uploaded_at
2026,0000088,대구가톨릭대학교,본교,0000063,대구가톨릭대학교,대구가톨릭대학교[본교],대학,대학교,경북,사립,고등교육법,선목학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000092,세한대학교,본교,0000064,세한대학교,세한대학교[본교],대학,대학교,전남광주,사립,고등교육법,영신학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000093,대신대학교,본교,0000065,대신대학교,대신대학교[본교],대학,대학교,경북,사립,고등교육법,학교법인 대신대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000094,대전가톨릭대학교,본교,0000066,대전가톨릭대학교,대전가톨릭대학교[본교],대학,대학교,세종,사립,고등교육법,천주교대전교구대지학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000095,대전대학교,본교,0000067,대전대학교,대전대학교[본교],대학,대학교,대전,사립,고등교육법,혜화학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000097,대진대학교,본교,0000068,대진대학교,대진대학교[본교],대학,대학교,경기,사립,고등교육법,대진대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000098,서울기독대학교,본교,0000069,서울기독대학교,서울기독대학교[본교],대학,대학교,서울,사립,고등교육법,환원학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000099,덕성여자대학교,본교,0000070,덕성여자대학교,덕성여자대학교[본교],대학,대학교,서울,사립,고등교육법,덕성학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000100,동국대학교,본교,0000071,동국대학교,동국대학교[본교],대학,대학교,서울,사립,고등교육법,동국대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000101,동국대학교(WISE),분교,0000071,동국대학교,동국대학교(WISE)[분교],대학,대학교,경북,사립,고등교육법,동국대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000102,동덕여자대학교,본교,0000072,동덕여자대학교,동덕여자대학교[본교],대학,대학교,서울,사립,고등교육법,동덕학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000103,동서대학교,본교,0000073,동서대학교,동서대학교[본교],대학,대학교,부산,사립,고등교육법,동서학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000104,동신대학교,본교,0000074,동신대학교,동신대학교[본교],대학,대학교,전남광주,사립,고등교육법,해인학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000105,동아대학교,본교,0000075,동아대학교,동아대학교[본교],대학,대학교,부산,사립,고등교육법,동아학숙,기존,,,,2026-08-14T22:41:45.160Z
2026,0000106,동양대학교,본교,0000076,동양대학교,동양대학교[본교],대학,대학교,경북,사립,고등교육법,현암학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000107,동의대학교,본교,0000077,동의대학교,동의대학교[본교],대학,대학교,부산,사립,고등교육법,동의학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000108,루터대학교,본교,0000078,루터대학교,루터대학교[본교],대학,대학교,경기,사립,고등교육법,루터교학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000109,명지대학교,본교,0000079,명지대학교,명지대학교[본교],대학,대학교,경기,사립,고등교육법,명지학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000111,명지대학교,제2캠퍼스,0000079,명지대학교,명지대학교[제2캠퍼스],대학,대학교,서울,사립,고등교육법,명지학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000112,목원대학교,본교,0000080,목원대학교,목원대학교[본교],대학,대학교,대전,사립,고등교육법,감리교학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000113,배재대학교,본교,0000081,배재대학교,배재대학교[본교],대학,대학교,대전,사립,고등교육법,배재학당,기존,,,,2026-08-14T22:41:45.160Z
2026,0000114,부산가톨릭대학교,본교,0000082,부산가톨릭대학교,부산가톨릭대학교[본교],대학,대학교,부산,사립,고등교육법,성모학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000115,부산외국어대학교,본교,0000083,부산외국어대학교,부산외국어대학교[본교],대학,대학교,부산,사립,고등교육법,성지학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000116,삼육대학교,본교,0000084,삼육대학교,삼육대학교[본교],대학,대학교,서울,사립,고등교육법,삼육학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000117,상명대학교,본교,0000085,상명대학교,상명대학교[본교],대학,대학교,서울,사립,고등교육법,상명학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000119,상지대학교,본교,0000086,상지대학교,상지대학교[본교],대학,대학교,강원,사립,고등교육법,상지학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000120,서강대학교,본교,0000087,서강대학교,서강대학교[본교],대학,대학교,서울,사립,고등교육법,서강대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000121,서경대학교,본교,0000088,서경대학교,서경대학교[본교],대학,대학교,서울,사립,고등교육법,서경대학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000125,서울신학대학교,본교,0000090,서울신학대학교,서울신학대학교[본교],대학,대학교,경기,사립,고등교육법,서울신학대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000126,서울여자대학교,본교,0000091,서울여자대학교,서울여자대학교[본교],대학,대학교,서울,사립,고등교육법,정의학원,기존,,,,2026-08-14T22:41:45.160Z
