year,cohort,school_rep_code,school_rep_name,region,estb,school_division,student_quota,recruitment_stop,enrolled_total,enrolled_within,enrolled_outside,fill_rate_within,fill_rate_within_outside,campus_count,grad_program_count,has_alimi,updated_at
2024,graduate,0000110,연세대학교,서울,사립,대학원,11126.5,0,13708,11299,2409,101.6,123.2,20,20,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000121,이화여자대학교,서울,사립,대학원,6509.5,0,6190,5464,726,83.9,95.1,15,15,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000125,장로회신학대학교,서울,사립,대학원,1517.5,0,1477,1453,24,95.7,97.3,6,6,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000129,중앙대학교,서울,사립,대학원,5657.5,0,5852,4791,1061,84.7,103.4,19,19,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000133,총신대학교,서울,사립,대학원,1815.5,0,1879,1702,177,93.7,103.5,9,9,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000134,추계예술대학교,서울,사립,대학원,216,0,178,96,82,44.4,82.4,2,2,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000142,한국성서대학교,서울,사립,대학원,190,0,155,147,8,77.4,81.6,4,4,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000143,한국외국어대학교,서울,사립,대학원,2964,0,2448,2005,443,67.6,82.6,10,9,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000150,한성대학교,서울,사립,대학원,886,0,1005,606,399,68.4,113.4,8,8,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000153,한양대학교,서울,사립,대학원,9263,0,10165,7837,2328,84.6,109.7,19,19,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000160,홍익대학교,서울,사립,대학원,3676,0,4093,3503,590,95.3,111.3,15,15,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000066,대전가톨릭대학교,세종,사립,대학원,90,0,20,20,0,22.2,22.2,1,1,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000117,울산대학교,울산,사립,대학원,2069,0,1790,1609,181,77.8,86.5,5,5,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000123,인천가톨릭대학교,인천,사립,대학원,200,0,69,69,0,34.5,34.5,2,2,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000124,인하대학교,인천,사립,대학원,3371,0,3412,3101,311,92,101.2,10,10,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000054,광주가톨릭대학교,전남,사립,대학원,90,0,39,39,0,43.3,43.3,1,1,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000074,동신대학교,전남,사립,대학원,508.5,0,1029,528,501,103.8,202.4,3,3,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000064,세한대학교,전남,사립,대학원,110,0,721,35,686,31.8,655.5,1,1,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000190,초당대학교,전남,사립,대학원,100,0,281,84,197,84,281,2,2,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000173,예수대학교,전북,사립,대학원,20,0,10,10,0,50,50,1,1,Y,2026-08-15T09:17:42.571Z
