year,cohort,school_rep_code,school_rep_name,region,estb,school_division,tuition_revenue,edu_operating_revenue,industry_operating_revenue,total_operating_revenue,tuition_dependency_rate,campus_count,has_alimi,updated_at
2020,university,0000046,경주대학교,경북,사립,대학,6976203.03,8742190.556,161471.995,8903662.550999999,78.4,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000185,김천대학교,경북,사립,대학,20362791.77,27851571.7,1958942.7,29810514.4,68.3,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000063,대구가톨릭대학교,경북,사립,대학,92699560.34,146742176.5,29625797.87,176367974.37,52.6,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000061,대구대학교,경북,사립,대학,124908128.4,201587459.1,37037003.4,238624462.5,52.3,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000062,대구예술대학교,경북,사립,대학,7638563.21,10799828.19,91231.28,10891059.469999999,70.1,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000042,대구한의대학교,경북,사립,대학,49198346.28,77648899.11,14059435.91,91708335.02,53.6,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000065,대신대학교,경북,사립,대학,3634566.22,6282920.097,0,6282920.097,57.8,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000076,동양대학교,경북,사립,대학,26398333.51,38266219.08,2188900.381,40455119.460999995,65.3,2,Y,2026-08-15T06:33:03.497Z
2020,university,0000111,영남대학교,경북,사립,대학,170120987.3,270459619.4,65718286.58,336177905.97999996,50.6,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000112,영남신학대학교,경북,사립,대학,4314826.971,7364371.555,0,7364371.555,58.6,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000119,위덕대학교,경북,사립,대학,20582160.27,30208948.73,4692007.611,34900956.341,59,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000140,포항공과대학교,경북,사립,대학,23776146.5,144720062.7,232719372.5,377439435.2,6.3,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000146,한동대학교,경북,사립,대학,31647906.04,63263890.8,15624924.7,78888815.5,40.1,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000052,광신대학교,광주,사립,대학,5515697.34,9610510.817,0,9610510.817,57.4,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000176,광주대학교,광주,사립,대학,44202213.85,72051895.54,10667530.5,82719426.04,53.4,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000055,광주여자대학교,광주,사립,대학,24667440.93,42256340.9,1180433.441,43436774.341,56.8,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000162,남부대학교,광주,사립,대학,21387951.33,35390480.41,1772354.93,37162835.339999996,57.6,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000187,송원대학교,광주,사립,대학,18651519.03,32365714.87,2980713.425,35346428.295,52.8,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000127,조선대학교,광주,사립,대학,145566169.6,214630559.3,61169060.47,275799619.77,52.8,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000157,호남대학교,광주,사립,대학,48697699.31,76218196.64,12732477.34,88950673.98,54.7,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000158,호남신학대학교,광주,사립,대학,5426029.324,8254607.698,0,8254607.698,65.7,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000048,계명대학교,대구,사립,대학,163092513.7,276795706.5,43515661.85,320311368.35,50.9,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000067,대전대학교,대전,사립,대학,68080580.39,102633321.9,39586878.03,142220199.93,47.9,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000182,대전신학대학교,대전,사립,대학,1025169.167,2133669.037,0,2133669.037,48,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000080,목원대학교,대전,사립,대학,56116572.73,84359351.42,4365539.301,88724890.721,63.2,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000081,배재대학교,대전,사립,대학,57936664.59,93004334.05,19383772.96,112388107.00999999,51.6,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000184,우송대학교,대전,사립,대학,72726545.89,110652637.7,6064064.814,116716702.514,62.3,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000120,을지대학교,대전,사립,대학,42352121.33,82476787.64,25351077.36,107827865,39.3,3,Y,2026-08-15T06:33:03.497Z
2020,university,0000551,한국침례신학대학교,대전,사립,대학,11679117.84,20423388.53,0,20423388.53,57.2,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000145,한남대학교,대전,사립,대학,84485082.32,131706806.5,31767899.67,163474706.17000002,51.7,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000043,경성대학교,부산,사립,대학,82234747.23,124448118.3,13889779.96,138337898.26,59.4,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000050,고신대학교,부산,사립,대학,29690495.26,63697576.88,4537219.819,68234796.699,43.5,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000180,동명대학교,부산,사립,대학,52533682.72,86124107.74,16529410.15,102653517.89,51.2,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000073,동서대학교,부산,사립,대학,67662502.76,112182392.5,14558713.6,126741106.1,53.4,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000075,동아대학교,부산,사립,대학,138086062.4,220916430.3,46588167.68,267504597.98000002,51.6,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000077,동의대학교,부산,사립,대학,101102346.3,155366983,24232065.36,179599048.36,56.3,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000082,부산가톨릭대학교,부산,사립,대학,26170761.72,45663595.38,8468470.915,54132066.295,48.3,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000083,부산외국어대학교,부산,사립,대학,49311188.29,78950710.95,3707183.674,82657894.624,59.7,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000106,신라대학교,부산,사립,대학,56650737.02,89424769.88,10410557.46,99835327.34,56.7,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000035,감리교신학대학교,서울,사립,대학,9013573.55,13047040.42,157673.904,13204714.324,68.3,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000037,건국대학교,서울,사립,대학,232698112.1,347219900.2,105302905,452522805.2,51.4,2,Y,2026-08-15T06:33:03.497Z
2020,university,0000047,경희대학교,서울,사립,대학,289984318.4,437337931.8,150318782.2,587656714,49.3,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000049,고려대학교,서울,사립,대학,352941598.1,605262184.5,411855556,1017117740.5,34.7,2,Y,2026-08-15T06:33:03.497Z
2020,university,0000053,광운대학교,서울,사립,대학,76370613.3,108165421.4,35237457.06,143402878.46,53.3,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000056,국민대학교,서울,사립,대학,151941941.7,216508266.5,69910149.29,286418415.79,53,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000070,덕성여자대학교,서울,사립,대학,41306777.17,65764174.13,8124090.976,73888265.106,55.9,1,Y,2026-08-15T06:33:03.497Z
