year,school_code_std,school_name,school_division,school_kind,estb,status,region,zone,metro,enrolled_total,scale,campus_count
2026,0000367,충북보건과학대학교,전문대학,전문대학,사립,기존,충북,충청권,비수도권,3431,중규모,1
2026,0000377,충청대학교,전문대학,전문대학,사립,기존,충북,충청권,비수도권,3320,중규모,1
2026,0000136,칼빈대학교,대학,대학교,사립,기존,경기,수도권,수도권,2394,소규모,1
2026,0000138,평택대학교,대학,대학교,사립,기존,경기,수도권,수도권,3127,소규모,1
2026,0000140,포항공과대학교,대학,대학교,사립,기존,경북,대경권,비수도권,1499,소규모,1
2026,0000381,포항대학교,전문대학,전문대학,사립,기존,경북,대경권,비수도권,1484,소규모,1
2026,0000568,한경국립대학교,대학,대학교,국립,기존,경기,수도권,수도권,6375,중규모,2
2026,0000542,한국골프과학기술대학교,전문대학,전문대학,사립,기존,강원,강원권,비수도권,448,소규모,1
2026,0000562,한국공학대학교,대학,대학교,사립,기존,경기,수도권,수도권,7645,중규모,1
2026,0000391,한국관광대학교,전문대학,전문대학,사립,기존,경기,수도권,수도권,1474,소규모,1
2026,0000022,한국교원대학교,대학,대학교,국립,기존,충북,충청권,비수도권,2328,소규모,1
2026,0000141,한국기술교육대학교,대학,대학교,사립,기존,충남,충청권,비수도권,4221,소규모,1
2026,0000142,한국성서대학교,대학,대학교,사립,기존,서울,수도권,수도권,948,소규모,1
2026,0000396,한국승강기대학교,전문대학,전문대학,사립,기존,경남,동남권,비수도권,1819,소규모,1
2026,0000353,한국영상대학교,전문대학,전문대학,사립,기존,세종,충청권,비수도권,3104,중규모,1
2026,0000143,한국외국어대학교,대학,대학교,사립,기존,서울,수도권,수도권,17338,대규모,1
2026,0000023,한국체육대학교,대학,대학교,국립,기존,서울,수도권,수도권,2394,소규모,1
2026,0000551,한국침례신학대학교,대학,대학교,사립,기존,대전,충청권,비수도권,641,소규모,1
2026,0000144,한국항공대학교,대학,대학교,사립,기존,경기,수도권,수도권,4318,소규모,1
2026,0000145,한남대학교,대학,대학교,사립,기존,대전,충청권,비수도권,11503,대규모,1
2026,0000146,한동대학교,대학,대학교,사립,기존,경북,대경권,비수도권,3800,소규모,1
2026,0000147,한라대학교,대학,대학교,사립,기존,강원,강원권,비수도권,3336,소규모,1
2026,0000148,한림대학교,대학,대학교,사립,기존,강원,강원권,비수도권,7827,중규모,1
2026,0000383,한림성심대학교,전문대학,전문대학,사립,기존,강원,강원권,비수도권,2460,중규모,1
2026,0000149,한서대학교,대학,대학교,사립,기존,충남,충청권,비수도권,6067,중규모,1
2026,0000150,한성대학교,대학,대학교,사립,기존,서울,수도권,수도권,7143,중규모,1
2026,0000151,한세대학교,대학,대학교,사립,기존,경기,수도권,수도권,2518,소규모,1
2026,0000152,한신대학교,대학,대학교,사립,기존,경기,수도권,수도권,4988,소규모,1
2026,0000153,한양대학교,대학,대학교,사립,기존,서울,수도권,수도권,28178,대규모,2
2026,0000384,한양여자대학교,전문대학,전문대학,사립,기존,서울,수도권,수도권,6509,대규모,1
2026,0000546,한영대학교,전문대학,전문대학,사립,기존,전남,서남권,비수도권,1221,소규모,1
2026,0000155,한일장신대학교,대학,대학교,사립,기존,전북,전북권,비수도권,734,소규모,1
2026,0000156,협성대학교,대학,대학교,사립,기존,경기,수도권,수도권,3941,소규모,1
2026,0000386,혜전대학교,전문대학,전문대학,사립,기존,충남,충청권,비수도권,3124,중규모,1
2026,0000157,호남대학교,대학,대학교,사립,기존,광주,서남권,비수도권,6193,중규모,1
2026,0000158,호남신학대학교,대학,대학교,사립,기존,광주,서남권,비수도권,424,소규모,1
2026,0000522,호산대학교,전문대학,전문대학,사립,기존,경북,대경권,비수도권,2406,중규모,1
2026,0000159,호서대학교,대학,대학교,사립,기존,충남,충청권,비수도권,11913,대규모,1
2026,0000223,호원대학교,대학,산업대학,사립,기존,전북,전북권,비수도권,5280,중규모,1
2026,0000160,홍익대학교,대학,대학교,사립,기존,서울,수도권,수도권,18057,대규모,2
2026,0000567,화성의과학대학교,대학,대학교,사립,기존,경기,수도권,수도권,607,소규모,1
