year,school_code_std,school_name,school_division,school_kind,estb,status,region,zone,metro,enrolled_total,scale,campus_count
2026,0000282,수성대학교,전문대학,전문대학,사립,기존,대구,대경권,비수도권,3383,중규모,1
2026,0000101,수원가톨릭대학교,대학,대학교,사립,기존,경기,수도권,수도권,92,소규모,1
2026,0000330,수원과학대학교,전문대학,전문대학,사립,기존,경기,수도권,수도권,3666,중규모,1
2026,0000102,수원대학교,대학,대학교,사립,기존,경기,수도권,수도권,8529,중규모,1
2026,0000329,수원여자대학교,전문대학,전문대학,사립,기존,경기,수도권,수도권,3785,중규모,1
2026,0000103,숙명여자대학교,대학,대학교,사립,기존,서울,수도권,수도권,10484,대규모,1
2026,0000331,순천제일대학교,전문대학,전문대학,사립,기존,전남,서남권,비수도권,2706,중규모,1
2026,0000104,순천향대학교,대학,대학교,사립,기존,충남,충청권,비수도권,11137,대규모,1
2026,0000105,숭실대학교,대학,대학교,사립,기존,서울,수도권,수도권,14116,대규모,1
2026,0000333,숭의여자대학교,전문대학,전문대학,사립,기존,서울,수도권,수도권,3020,중규모,1
2026,0000586,신경주대학교,대학,대학교,사립,기존,경북,대경권,비수도권,1317,소규모,1
